"Document Title","Abstract","Authors","Publication Year","DOI","Link"
"""""We Don't Give a Second Thought Before Providing Our Information: Understanding Users' Perceptions of Information Collection by Apps in Urban Bangladesh""""","""""With a rapid increase in the use of digital technologies, people in the Global South including Bangladesh are exposed to a wide-range of smartphone applications (termed as apps in this paper), which offer a variety of features and services. However, privacy leakage through apps has increasingly become a major concern in Bangladesh, where the app collecting users' sensitive information without their consent was reported in news media for privacy violation. Our study with 32 participants from varying age, literacy level, and profession in Dhaka, Bangladesh unveils the perceptions of people around data collection and sharing by the app reported in privacy leakage news. All of our participants were aware of information leakage through the app they use, where they possess varying perceptions around providing personal information, like a sense of benefit, necessity and contribution, indifference, fear, or (no) authority over data collection. Our analysis reveals the relation between users' privacy perceptions, local infrastructure, and social practices in Bangladesh, where we identify the situated challenges that interfere with people's understanding of privacy notice. Our results lead to a discussion on how people's privacy perceptions are influenced by rapid urbanization and the opportunities offered by digitization in Bangladesh. Based on our findings, we provide recommendations to develop situated and sustainable strategies to enhance privacy awareness and practices in the social setting of Bangladesh, and Global South.""""","""""Al-Ameen, Mahdi Nasrullah and Tamanna, Tanjina and Nandy, Swapnil and Ahsan, M. A. Manazir and Chandra, Priyank and Ahmed, Syed Ishtiaque""""","2020","10.1145/3378393.3402244","https://doi-org.proxy.bnl.lu/10.1145/3378393.3402244"
"""""Adoption of Covid-19 contact tracing app by extending UTAUT theory: Perceived disease threat as moderator""""","""""Objectives
Contact tracing applications are technological solutions that can quickly trace and notify users of their potential exposure to the Covid-19 virus and help contain the spread of the disease. However, extant research delineating the various factors predicting the adoption of contact tracing apps is scant. The study's primary objective is to develop and validate a research model based on the unified theory of acceptance and use of technology (UTAUT), health belief model (HBM), perceived privacy risk and perceived security risk to understand the adoption of contact tracing application.
Methods
An online survey was carried out among users of the ‘Aarogya Setu’ contact tracing app in India. The partial least squares structural equation modelling (PLS-SEM) tool was employed to analyze data from 307 respondents.
Results
The results showed that performance expectancy, social influence, and facilitating conditions positively influenced users’ intention to adopt the app. In contrast, perceived privacy and security risks were significant barriers to app adoption. Perceived disease threat as a moderator mitigated the adverse impact of perceived privacy risk on users' intention to adopt contact tracing apps.
Conclusions
The current study gives insights on both drivers and barriers to the adoption of contract tracing applications. Various theoretical and practical implications of significance are provided for academicians and practitioners to effectively promote app adoption to tackle the Covid-19 pandemic.""""","""""Prasanta Kr Chopdar""""","2022","https://doi.org/10.1016/j.hlpt.2022.100651","https://www.sciencedirect.com/science/article/pii/S2211883722000594"
"""""Understanding digital contact tracing app continuance: Insights from India""""","""""Objectives
Digital contact tracing (DCT) was touted as an effective alternative to lockdown and other restrictive measures in controlling the spread of the COVID-19 pandemic. Despite considerable investments in research and development, the usage of DCT apps was found to be phenomenally low across the world. In this context, the current study investigates the factors influencing citizens’ continuance intentions to use the DCT app.
Methods
A theoretical framework was developed by extending the Expectation-confirmation model (ECM) of Information system continuance with Technology trust theory and a contextual factor perceived security and privacy to predict citizens’ continuance intentions to use the DCT app. The model was empirically tested using data from a field survey of 206 actual users of a DCT app implemented in India.
Results
The findings reveal that user satisfaction, trust in government, and trust in technology are significant predictors of citizens’ continuance intention. The model demonstrates high explanatory power by explaining 57.8% of the variance of continuance intention. It also validates the role of perceived security and privacy and trust in technology in determining user satisfaction.
Conclusion
The study makes a theoretical contribution by extending the ECM framework to predict DCT app continuance behavior. The insights from the study could be helpful for developers and policymakers in crafting strategies to improve the usage of DCT apps during future disease outbreaks.""""","""""Ashish Viswanath Prakash and Saini Das and K. Rajasekharan Pillai""""","2021","https://doi.org/10.1016/j.hlpt.2021.100573","https://www.sciencedirect.com/science/article/pii/S2211883721000964"
"""""User's Perception on Security and Privacy in Using Crypto Currency Trading Application in India""""","""""Crypto trading has grown at an unprecedented rate since the introduction of crypto trading mobile applications. Wallets, which are mobile applications, are frequently used to facilitate user interaction with cryptocurrencies. Attackers are interested in these wallets because of their perceived real-world value. This article examines the security and privacy profiles of the top six cryptocurrency trading mobile apps in India, focusing on understanding user perceptions of cryptocurrency trading apps and their impact on usability, privacy, and security. Unlike regulated financial services and cryptocurrency applications, wallets are exempt from the same stringent security requirements. The author in this paper can infer that there are just a few mobile-based crypto trading applications from this research of all mobile-based crypto trading applications using different penetration testing techniques. Author check these applications for OWASP-defined common vulnerabilities and discover the connections between various security and privacy concerns as well as how varying threat perceptions affect user security behaviors. The paper also examines how mobile applications may affect user privacy.""""","""""G. Vakare; D. Rautela; H. Shobharam Lamkuche""""","2022","10.1109/ICKECS56523.2022.10060666","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10060666"
"""""On the MitM vulnerability in mobile banking applications for android devices""""","""""One of the primary concerns that the developers of mobile banking applications should strive to is to ensure the security of user information originating from any of these applications. However, implementing even basic security features, like performing encryption on user data or using HTTPS while connection establishment, on such mobile applications, is often found to be absent either due to the lack of knowledge of user security concerns, or unavailability of security testing experts who can point out the security flaws in the applications. In this paper, we consider man-in-the-middle (MitM) attack, a simple yet powerful attack, as a primary attack to test basic security features that a mobile banking application should impose. We have considered a total of 19 mobile banking applications on Android that are currently got deployed by public sector banks in India and are used by their respective customers. Surprisingly, the In about 90% of these banking applications, we have observed that the attack can be launched with ease even if the applications are using security protocols like HTTPS to establish a communication channel with their respective servers. Moreover, some mobile applications are using simple HTTP protocol to transfer user information without bothering anything about security. Hence, our analysis suggests that a level of revision is required to address the basic security flaws in the mobile banking applications to prevent even simple MitM attack.""""","""""S. Kaka; V. N. Sastry; R. R. Maiti""""","2016","10.1109/ANTS.2016.7947811","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7947811"
"""""Vulnerability detection in recent Android apps: An empirical study""""","""""With the continuous and rapid increase in quantity and diversity of Smartphone application usage, the storage of sensitive personal and even financial information of the users is also being augmented. It creates motivation for developers of malicious applications to put more effort on discovering ways to identify and exploit the vulnerabilities of utility applications and grab the sensitive information of the users. Android applications, being more open in nature and popular among armature individual developers, fall victim to the malwares quite frequently. Recently, the Govt. of Bangladesh has taken initiative to encourage and patronize young developers to develop utility apps for free public use in the context of Bangladesh (app source: EATL1). While the motivation is great, i.e., benefiting common people, the way these are developed and released have reasons to suspect that recent vulnerabilities may exist due. This may harm the users and ruin the good initiative. In this paper, we have carried out an empirical study on a selected set of these apps to detect eight common vulnerabilities. We have carefully chosen three quality tools that cover testing of all these vulnerabilities. We reported the detected results showing vulnerabilities in the tested apps, presented statistics of the vulnerabilities and discussed countermeasures. We believe this study would benefit the developers and indirectly the potential users of these applications.""""","""""F. H. Shezan; S. F. Afroze; A. Iqbal""""","2017","10.1109/NSysS.2017.7885802","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7885802"
"""""State of Survey: Advancement of Knowledge Environmental Sustainability in Practicing Administrative Apps""""","""""Digital technology is growing rapidly in the country. The use of smartphone applications is increasing in Bangladesh, at the same time there are some apps that are important in daily life, whether it is for fun or work by downloading apps on mobile phones. Bangladesh is in an explosive position in terms of app usage to increase internet usage. As modernity has increased, so has the use of apps in consumer performance ( personal or official work, food ordering or online ticketing, banking transactions). However, leaking consumer privacy through the app is now the biggest concern in growing Bangladesh. Reports of privacy violations were also published in various media outlets in Bangladesh. We have completed the work with 310 responses via a survey on how many government app users there are in Bangladesh and why they are reluctant to use the app. Our data collection target was vast but we could not collect more than 310 because the maximum number of people in Bangladesh do not use government apps. In survey analysis, we have learned that people in Bangladesh are not interested in using government apps due to insecurity, simplicity, bugs, UI UX design and reliability issues. Based on our results, the use of these apps will increase if the government can develop apps based on the key points that have been highlighted. In the future, we will use machine learning and deep learning to find out the rate of users’ willingness to use apps, unwillingness, design, bugs, security, etc. As well as ways to increase the use of apps.""""","""""S. S. Bandan; M. Rahman Ajmain; A. R. Rejuan; M. Farhana Khatun; S. A. Khushbu""""","2022","10.1109/ICCCNT54827.2022.9984416","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9984416"
"""""Malware analysis in mobile devices""""","""""Mobile Devices are used worldwide nowadays and are being used for most of the tasks we do in our everyday lives. This becomes a good reason for bad people to exploit you somehow. One of the ways is through malware attacks. It can harm us by exploiting our privacy, showing advertisements on our mobile devices, browser exploitation, data tampering, phishing, etc. In India, more than 740 million people are using smartphones, approximately 54% of India's population, and the number of users is increasing each year which makes them all vulnerable to such attacks. There are many ways to detect malware hidden in our phones, prevent such attacks, and maintain our privacy. In this paper, we will discuss the approaches we can take to ensure all the users are secure and protected, and we will be talking about pegasus spyware, why this is so dangerous, and how we can stay protected from such malware. We will also be discussing an implementation that can be used to detect malware and alert users to take the necessary steps to make the device secure again.""""","""""P. Agarwal; A. Nair; S. Jaiswal; N. Batra; P. Grover""""","2022","10.1049/icp.2022.0604","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9800432"
"""""Effective Security Testing of Mobile Applications for Building Trust in the Digital World""""","""""In recent years, mobile applications have become increasingly important. These applications differ significantly from desktop and web applications, and being used increasingly in various enterprise domains. Accordingly, this motivates the mobile industries to increase the accessibility of mobile applications and their development across many platforms, including Android and iPhone. This research work discusses the security testing procedure and features of India's first indigenous AppStore “mSeva AppStore”. To ensure the quality of the hosted mobile applications, distinct techniques, and effective testing approaches are required. Before hosting the application on mSeva AppStore regressive testing is performed in all aspects like insecure permissions, data storage, secure logic, proper platform algorithms, etc. However, in the current mobile application testing scenario, other AppStore does not consider all factors before hosting the applications, which is quite necessary. This study highlights the key terminologies of mobile application testing and quality parameters. Further, demonstrates the actual results that are obtained during the security testing of various applications. Along with this, the first-ever Common Weakness Enumeration (CWE) based classification regarding common artifacts in mobile application testing is provided. The peculiarities discussed with respect to mobile applications and the testing requirements in the context of secure hosting will help the relevant researcher and stakeholders in this field.""""","""""K. Kant Kamal; P. Joshi; A. Bang; K. Bhatia""""","2023","10.1109/ICOEI56765.2023.10125814","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125814"
"""""UPI Based Mobile Banking Applications – Security Analysis and Enhancements""""","""""Technology advancements have reduced the cost of both a mobile device and data connection making it affordable to all. In parallel, mobile applications are also rising providing the quick, easy door-step solution(s) to one's professional and personal requirements. In the current trend of the digital and cashless economy, mobile-based app solutions are easy to use and ubiquitous, facilitating a wide range of banking financial services (pay/collect money etc.) and non-financial services (cheque request, account balance, view transaction history etc.). Mobile app revolution is also accompanied by many known and unknown security risks. Out of the various mobile banking applications, UPI (Unified Payment Interface) based apps are simple, reliable, centrally certified (by NPCI (National Payment Corporation of India)) and more secured. Study of UPI apps revealed the possibility of further security enhancements utilizing technological advancements to detect cybercrimes and fraudulent mobile transactions. This paper discusses UPI based mobile apps (architecture, transactions, features and security issues) and information security enhancement proposals w.r.t authentication and authorization.""""","""""K. K. Lakshmi; H. Gupta; J. Ranjan""""","2019","10.1109/AICAI.2019.8701396","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8701396"
"""""Finding Vulnerabilities in E-Governance Apps of Android Platform""""","""""Around the globe, mobile devices like Smartphones, PDAs & tablets are playing an essential role in every person's day to day life. Out of various operating systems, Android OS is one of the most popular and user-friendly operating system for mobile devices. The Government of India is continuously focusing on digitizing its services to the citizen, so that maximum individuals can get benefit of these services and also it removes the middle man culture and minimize the corruption. Inspired by the steps of Government of India, many state governments also works in the same direction and made their services online through mobile applications. In this paper, we have analyzed some mobile applications of Madhya Pradesh Government and an exhaustive assessment has been done for Apps Vulnerability. After analyzing these apps, authors proposed some recommendations in the conclusion of the paper.""""","""""A. Ankur; S. Patel""""","2022","10.1109/ICTACS56270.2022.9988647","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9988647"
"""""Security Issues of Unified Payments Interface and Challenges: Case Study""""","""""NPCI, which stands for National Payment Corporation of India, was the organisation behind the idea of UPI, a user-friendly system in which funds can be directly transferred from the bank account to the account using a mobile phone. UPI is based on the concept of 1 click 2-factor authentication. The first factor is the user’s mobile phone itself, and the second factor is MPIN or bio-metrics. It is based on the IMPS(Immediate Payment Service), but there are considerable differences between both services, and we will observe it. With a foresight to make the Indian economy cashless, it helps people transfer funds in an immediate and real-time process. It has played a major role in the revolution of cashless transactions in India. Although significant UPI users are minor and much lesser compared to the Indian population, over 2.07 billion transactions per month have been made by UPI by October 2020, which makes it our essential part of our day-to-day life. This paper will discuss the working of UPI, how UPI is different from conventional cashless transaction methods. After that, we will discuss how the attacker can find the UPI’s loopholes (here we reviewed UPI BHIM 1.0) and empty the victim’s bank account. The attacker can make these attacks remotely, and these attacks can affect a single user to multiple users. We will also discuss how the attacker can achieve his/her goal using a malicious App. In the end, we will see how UPI BHIM 2.0 update was successful in covering this security loophole.""""","""""Y. Madwanna; M. Khadse; B. R. Chandavarkar""""","2021","10.1109/ICSCCC51823.2021.9478078","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9478078"
"""""Integrating OAuth and Aadhaar with e-Health care System""""","""""Smartphone based E-health applications have the potential to change the way in which information is being exchanged between various stakeholders present in the medical industry by providing quick access to processed medical data on the go. E-health applications have gained wide acceptance among the doctor community because of their ability to help doctors in understanding the various pattern of symptoms that show up in the initial stages of a disease or during a relapse which in turn saves a lot of time and lives. These applications have also been used by a lot of patients to get instant access to their medical history which otherwise would have not have been possible with the traditional way of maintaining printed medical records in a file. Health records of a patient usually contain sensitive information and digitalization of these records will significantly increase the chances of private data falling into the wrong hands so it is very critical to provide secured access mechanisms to all the stakeholders present in this system and ensure users privacy. Medical data breach can be avoided by the implementation of various authentication and authorization techniques wherever necessary. Health care sector doesn't have a centralized way of identifying a patient and this decreases the feasibility of large scale storage and maintenance of the medical records provided by various doctors. Ever since the introduction of Aadhaar in India, all the major organizations have put in immense amount of effort to link various users accounts to their Aadhaar number and this has turned out to be very beneficial because it has reduced the processing time, reduced the leakage in the system and also eradicate the duplicity of account in sectors like LPG Subsidy, Academic Scholarship, Crop Insurance etc. Through this work, approaches involved in design and implementation of an Aadhaar based E Health application with OAuth is discussed.""""","""""A. Khatoon; V. Umadevi""""","2018","10.1109/RTEICT42901.2018.9012487","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9012487"
"""""Signature Based Malicious Behavior Detection in Android""""","""""User’s security and privacy are of increasing concern with the popularity of Android and its applications. Apps of malicious nature attempts to perform activities like information leakage and user profiling, detection of which is a challenge for security researchers. In this paper, we try to solve this problem by proposing a behavior based approach to detect malicious nature of applications in Android. Events and behavioral activities of an application are used to generate signature, which then is matched with signature database for detection. Behavioral signatures are designed on the basis of information leakage attempt, jailbreak attempt, abuse of root privilege and access of critical permissions. 260 popular apps of different nature were evaluated in addition to 42 android apps, which were flagged malicious by Government of India. The proposed system shows promising results to detect malicious behaviors. It also defines the nature of malicious activity exploited by an app.""""","""""Vikas Sihag; Ashawani Swami; Manu Vardhan; Pradeep Singh""""","2020","10.1007/978-981-15-6648-6_20","https://link.springer.com/chapter/10.1007/978-981-15-6648-6_20"
"""""Mesh Messaging in Large-Scale Protests: Breaking Bridgefy""""","""""Mesh messaging applications allow users in relative proximity to communicate without the Internet. The most viable offering in this space, Bridgefy, has recently seen increased uptake in areas experiencing large-scale protests (Hong Kong, India, Iran, US, Zimbabwe, Belarus), suggesting its use in these protests. It is also being promoted as a communication tool for use in such situations by its developers and others. In this work, we report on a security analysis of Bridgefy. Our results show that Bridgefy, as analysed, permitted its users to be tracked, offered no authenticity, no effective confidentiality protections and lacked resilience against adversarially crafted messages. We verified these vulnerabilities by demonstrating a series of practical attacks on Bridgefy. Thus, if protesters relied on Bridgefy, an adversary could produce social graphs about them, read their messages, impersonate anyone to anyone and shut down the entire network with a single maliciously crafted message.""""","""""Martin R. Albrecht; Jorge Blasco; Rikke Bjerg Jensen; Lenka Mareková""""","2021","10.1007/978-3-030-75539-3_16","https://link.springer.com/chapter/10.1007/978-3-030-75539-3_16"
"""Forensic analysis of mobile banking applications in Nigeria""","""Advancement in mobile technology has made smart mobile devices to provide users with functionalities, which make these devices virtually indispensable in today's world. Mobile device users can now perform tasks that in past could only be performed on a personal computer. This is made possible by the variety of applications that run on these devices, from basic utility applications to social networking applications, health applications, and even mobile banking applications. Forensic analysis and security assessment of mobile banking applications in some countries have shown that sensitive user data such as login credentials and transactions details can be retrieved from the internal memory and cache of mobile devices. In this work, forensic acquisition and analysis of five mobile banking applications in Nigeria are performed, using the Universal Forensic Extraction Device (UFED) Touch and Forensic Recovery of Evidence Device (FRED). Analysis shows similar results with previous studies: the mobile banking applications did retain valuable user data, including user login credentials and transaction details. Security and privacy of user data need to be given higher priority by developers and proprietors of these applications.""","""Uduimoh AA,Ismaila I,Osho O,Abdulhamid SM""","2018","","https://www.researchgate.net/profile/Shafii-Abdulhamid/publication/333756475_Forensic_Analysis_of_Mobile_Banking_Applications_in_Nigeria/links/5d371c054585153e591a8e30/Forensic-Analysis-of-Mobile-Banking-Applications-in-Nigeria.pdf"
"""Security Analysis of Unified Payments Interface and Payment Apps in India""","""Since 2016, with a strong push from the Government of India, smartphone-based payment apps have become mainstream, with over $50 billion transacted through these apps in 2018. Many of these apps use a common infrastructure introduced by the Indian government, called the Unified Payments Interface (UPI), but there has been no security analysis of this critical piece of infrastructure that supports money transfers. This paper uses a principled methodology to do a detailed security analysis of the UPI protocol by reverse-engineering the design of this protocol through seven popular UPI apps. We discover previously-unreported multi-factor authentication design-level flaws in the UPI 1.0 specification that can lead to significant attacks when combined with an installed attacker-controlled application. In an extreme version of the attack, the flaws could allow a victim's bank account to be linked and emptied, even if a victim had never used a UPI app. The potential attacks were scalable and could be done remotely. We discuss our methodology and detail how we overcame challenges in reverse-engineering this unpublished application layer protocol, including that all UPI apps undergo a rigorous security review in India and are designed to resist analysis. The work resulted in several CVEs, and a key attack vector that we reported was later addressed in UPI 2.0.""","""Renuka Kumar and Sreesh Kishore and Hao Lu and Atul Prakash""","2020","https://doi.org/10.1016/j.chb.2018.04.017","https://www.usenix.org/conference/usenixsecurity20/presentation/kumar"
