Document Title,Abstract,Chosen,Authors,Publication Year,DOI,Link,Content type
"""UAV exploitation: A new domain for cyber power""","""The risks of military unmanned aerial vehicles (UAVs) being subjected to electronic attack are well recognised, especially following high-profile incidents such as the interception of unencrypted video feeds from UAVs in Iraq and Israel, or the diversion and downing of a UAV in Iran. Protection of military UAV assets rightly focuses on defence against sophisticated cyber penetration or electronic attack, including data link intercepts and navigational spoofing. Offensive activity to counter adversary drone operations presumes a requirement for high-end electronic attack systems. However, combat operations in eastern Ukraine in 2014-16 have introduced an entirely new dimension to UAV and counter-UAV operations. In addition to drones with military-grade standards of electronic defence and encryption, a large number of civilian or amateur UAVs are in operation in the conflict. This presents both opportunities and challenges to future operations combating hybrid threats. Actual operations in eastern Ukraine, in combination with studies of potential criminal or terrorist use of UAV technologies, provide indicators for a range of aspects of UAV use in future conflict. However, apart from the direct link to military usage, UAVs are rapidly approaching ubiquity with a wide range of applications reaching from entertainment purposes to border patrol, surveillance, and research, which imposes an indirect security and safety threat. Issues associated with the unguarded use of drones by the general public range from potentially highly dangerous situations such as failing to avoid controlled airspace, to privacy violations. Specific questions include attribution of UAV activities to the individuals actually directing the drone; technical countermeasures against hacking, interception or electronic attack; and options for controlling and directing adversary UAVs. Lack of attribution and security measures protecting civilian UAVs against electronic attack, hacking or hijacking, with the consequent likelihood of unauthorised use or interception, greatly increases the complication of each of these concerns.""",,"""K. Hartmann; K. Giles""",2016,10.1109/CYCON.2016.7529436,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7529436,IEEE Conferences
"""Customer Perception on Online Banking System in Bhutan: A Study on Mobile Banking of Bank of Bhutan""","""A descriptive study on customer satisfaction on mBoB (Mobile Bank of Bhutan) service in Bhutan examined the satisfaction level and challenges faced by mBoB users in Bhutan. For this purpose, a primary data was collected with the help of structured questionnaire consisting 28 items. A convenience sampling technique was adopted to select a total of 150 respondents around Bhutan locality. The data gathered were analyzed with the help of descriptive statistics like simple frequency, percentages and mean. The study revealed that factors to ease of use, security, accessibility for 24 hours were statistically significant and has positive effects on customer satisfaction on using mBoB. The study also shows that strong internet is mandatory to access the service as weak internet hampers while accessing the service.""",,"""P. Tshering; P. R. Dhungyel; L. Yangdon""",2018,10.1109/ICCTCT.2018.8551040,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8551040,IEEE Conferences
"""Exploiting Advances in Video Analytics to Support Military Operations and Related Applications""","""As the prime contractor for the U.S. Army's Persistent Surveillance and Dissemination System of Systems (PSDS2) program, we have witnessed firsthand the U.S. military's video glut problem. Established in 2005 to address an urgent requirement for a video processing, exploitation, and dissemination (PED) capability, the PSDS2 program has provided the core video dissemination backbone used by the U.S. Central Command (CENTCOM) in Iraq and by the International Security Assistance Force (ISAF) in Afghanistan, where it is still in active use. PSDS2 integrates realtime sensor data from multiple sensor types-including hundreds of video sensors-and makes it available on-demand simultaneously to thousands of users both in near real time and streamed from forensic archives. Given the large number of stationary and mobile video and other sensors that are being integrated, the criticality of the services provided, and the austerity-in terms of available communications bandwidth, equipment size, weight, power, cost and cooling (SWaP+C2) limitations, and military personnel availability-we are motivated to investigate the use of analytics to address the video glut problem.""",,"""S. Gottschlich; B. L. Stone; B. Gerecke""",2018,10.1109/MPOT.2018.2824858,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8419106,IEEE Magazines
"""Effects of Using the WARMA Tool for Learning Quechua in Bilingual Educational Institutions in Huamanga City""","""The limitations of educational services in regular basic education are a frequent problem that affects the quality of teaching, and in the cities of the Peruvian highlands, due to the scarcity of learning materials or instruments adapted to Andean mother tongues, among them the Quechua language, this contributes to the weakening of the cultural identity of the indigenous populations of the department of Ayacucho, located in Peru. This paper presents the results of a study about the use and effects of the mobile application ""Warma"" (Warma, means ""child"" in the Quechua language of Ayacucho), as a tool for learning language and mathematics in Quechua-speaking educational institutions in communities near the city of Huamanga (Ayacucho, Peru). This study corresponds to the continuation of a previous experience, which took place during the year 2019, and in which children from educational institutions of Quechua-speaking indigenous communities located in the city of Ayacucho participated. The results show that the use of the mobile application is superior to traditional teaching methodology in the process of learning language and mathematics, indicating that the use of mobile applications has a favorable effect on the teaching of indigenous languages, such as Quechua, in both rural and urban educational institutions.""",,"""I. O. Yahuarcani; L. Antony Saravia Llaja; A. M. Nuñez Satalaya; E. Alana Rojas Alva; K. D. Jerí Lagos; L. Edith Jerí Lagos""",2020,10.1109/CONTIE51334.2020.00047,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408039,IEEE Conferences
"""Low Voltage Digitally Controlled Impedance Based Energy Efficient Vedic Multiplier Design on 28nm FPGA""","""Low Voltage Digitally Controlled Impedance (LVDCI) is an I/O standard available on FPGA. This design is LVDCI IO standard based Energy Efficient Vedic Multiplier Design on FPGA. Selection of IO standard play an important role in power dissipation of design. Therefore, we are going to select the most energy efficient IO standards in LVDCI family for Vedic Multiplier. This Vedic multiplier design is a part of project of Vedic arithmetic circuits. The final deliverable of this project is Vedic Processor by merging both concepts of Veda, first book of this world, and the latest technology of this world. In order to test thermal aware design, we want to see that how does an electronic device behave if we change the temperature of surrounding in which it is working. For that purpose we have taken temperatures of four different regions. Furnace Creek Ranch is area of North America recorded the highest temperature of the world that is 56.7°C [1]. Approximately, 53.5°C is the maximum temperature recorded in Mohenjo-Daro situated in Sindh Pakistan [1]. We have also taken median temperature of Delhi i.e. 40°C and standard normal temperature i.e. 21°C. We are operating Vedic Multiplier with the four different temperature and different LVDCI IO standard and observe device performance, and power dissipation. When we use 28nm FPGA under room temperature of 40°C, there are 93.42%, 92.6%, 93.99%, 93.59% and 89.79% reduction in total power dissipation of Vedic multiplier using LVDCI 15, LVDCI 18, LVDCI DV2 15, LVDCI DV2 18 and HSLVDCI 15 respectively. Similarly, when we use 28nm FPGA, there is approximately 90-96% reduction in leakage power dissipation of Vedic multiplier using different LVDCI and different temperature. There is no change in I/O power with change in temperature for uniform IO standard. When we use different IO standard of LVDCI family, there is significant reduction in leakage power. FPGA based on 28 nm technology is more energy efficient than 40 nm technology based FPGA.""",,"""K. Goswami; B. Pandey; A. Jain; D. Singh""",2014,10.1109/CICN.2014.201,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7065621,IEEE Conferences
"""HIPAA and QMS Based Architectural Requirements to Cope with the OCR Audit Program""","""The United States legislation known as the Health Insurance Portability and Accountability Act of 1996 (HIPAA) is aimed at strengthening patient rights, increasing efficiency and decreasing administrative costs in the healthcare industry. Under HIPAA all Covered Entities are required to ensure compliance with certain privacy and security rules concerned with protecting private patient health information. Building upon the objectives of HIPAA, the American Recovery and Reinvestment Act (ARRA) of 2009, in Section 13411 of the Health Information Technology for Economic and Clinical Health (HITECH) Act, required the Department of Health and Human Services (HHS) to conduct periodic audits of Covered Entities against HIPAA Security Rule. This paper presents and evaluates a new approach which might be used by Covered Entities to achieve compliance with HIPAA by adopting the ISO 9001 guidelines. A United States based Healthcare IT Company (UHITC) with a backup office in Pakistan was taken as a case study for this approach. UHITC develops software for mobile devices along with providing third party medical billing services. In connection with its achieving ISO 9001 certification since 2004, UHITC had already developed a company-wide quality audit protocol based on the ISO 9001 standard. For purposes of conforming the ISO standards to the HIPAA audit protocol in a streamlined fashion, UHITC examined the HIPAA requirements to determine whether the existing protocol could be tailored to achieve HIPAA compliance. In order to accomplish this evaluation, the two standards were compared by cross-mapping their components. The comparison revealed that the controls mentioned in the ISO 9001 guideline meet or exceed the HIPAA Security Rule for 36% of the implementation requirements. UHITC was also able to increase customer satisfaction by achieving compliance with HIPAA Security Rule using a quality management system (QMS) model. At the next level, Compliance Attributes (CA) were derived from these requirements and classified as architectural and non-architectural in nature. A new approach to define compliance oriented software architecture using compliance tactic was also proposed.""",,"""S. U. Gardazi; A. A. Shahid; C. Salimbene""",2012,10.1109/MUSIC.2012.50,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6305857,IEEE Conferences
"""Analysis of mobile wallet model applicable for Ecuador""","""Nowadays, the combination of fast growing of mobile phones with the great development of mobile technologies have caused a strong growth potential for mobile electronic commerce across the developing countries as Ecuador. This paper describes the main headlines in order to implement the mobile wallet in Ecuador. There are important challenges to overcome, like the essential agreement between government, mobile networks operators (MNO), banks, consumers, merchants, and others. In addition, this article will be focus on the security and regulatory aspects. The purpose of this study is to provide a starting point to raise a technical analysis of the mobile wallet with all aspects that compose it; reviewing the available technologies and the existing business models to conclude which is the most viable for application in Ecuador.""",,"""L. F. G. Vásquez; D. A. C. Dután; E. E. O. Figueroa""",2016,10.1109/EIConRusNW.2016.7448313,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7448313,IEEE Conferences
"""Do Women in Conservative Societies (Not) Follow Smartphone Security Advice? A Case Study of Saudi Arabia and Pakistan""","""Women in conservative cultures, are an understudied population when it comes to investigating how users keep their devices and data safe. Owing to the recent trend in smartphone adoption and the simultaneous increase in attacks targeting women in conservative societies, this study uses the rational decision model to investigate the motivations of this user group for (not) following common smartphone security advice. We focus on four pieces of smartphone security advice, i.e., using screen lock, updating device software, deleting suspicious text messages, and using secure WIFI networks. Through interviews with 156 women from Saudi Arabia and Pakistan, we re-validate the rational decision model, identify key gaps in perception between those who follow common smartphone security advice and those who do not, help explain participants' reasons behind their decisions and suggest recommendations for improving risk communication. Additionally, we describe similarities and differences between the studied population and the West in terms of sources for receiving smartphone security advice.""",,"""E. Al Qahtani; Y. Javed; H. Lipford; M. Shehab""",2020,10.1109/EuroSPW51379.2020.00028,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9229877,IEEE Conferences
"""Proposed Vision for Green Buildings in Iraq""","""Buildings are consuming for energy and natural resources, and environmentally polluting, in contrast to green buildings that reduce energy consumption, conserve natural resources from access, reduce polluting emissions, and provide a healthy and safe environment for residents. The research conducted a questionnaire of stakeholders in the construction and implementation sectors. The questionnaire showed that there are many problems that limit the trend towards the application of green buildings in Iraq, which is the problem of this research. The results of the analysis of the questionnaire revealed the presence of 26 problems, the most important of which is the weakness of the concept of green buildings in the society in general and the refusal of change and move towards the adoption of green buildings when constructing buildings in Iraq by 93.7%. In addition, the most important factors affecting the inability to move towards green buildings are the legal, technical, design, planning, financial, intellectual, functional, technological, construction and sustainability factors. The research aims to prepare a future vision and proposals to address the problems and factors that affect the weak demand for green buildings in Iraq. These proposals might be legal, technical, design, planning, financial, strategic and technical, that could help decision-makers and those interested in the construction and environment sectors to prepare drafts, codes and decisions for the transformation to green buildings. The research recommends the establishment of a higher council for green buildings in Iraq, which will be linked to the Council of Ministers, which will include government ministries such as housing, municipalities, science and technology and higher education and scientific research, as well as the private sector (companies and organizations), to achieve partnership and integration between them for promoting the green building sector in Iraq.""",,"""N. T. Ismael; A. H. Ali Hussain; A. M. Abdulwahab""",2019,10.1109/IEC47844.2019.8950623,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8950623,IEEE Conferences
"""Mobile Applications as Tools for Virtual Education in Indigenous Communities During the COVID-19 Pandemic in the Peruvian Amazon""","""The present work includes the development and validation of two bilingual mobile applications initially created as basic learning tools in Educational Institutions in Amazonian indigenous communities of the Shipibo-Konibo and Taushiro languages, both with weakening and extinction problems. The applications seek to overcome or adapt to the conditions and limitations of indigenous communities, caused by a series of bureaucratic administrative processes, and also seek to be complementary tools or support to the Virtual Education services that the Peruvian government has been promoting in the context of the COVID-19 Pandemic, and although classes continue to develop virtually through television, radio, software messaging services and electronic platforms, these media have been receiving a series of criticisms by parents and part of the education sector regarding the quality of service. Through the realization of two case studies, favorable results were achieved on the use and potentialities of supporting the educational social inclusion of indigenous children. Finally, a comparative table was made on the frequent problems, the new problems that have arisen in the context of COVID-19, and the scope and advantages of each of the mobile applications. At the same time, it is suggested that government strategies incorporate the use of interactive mobile self-learning applications as complementary mechanisms to current educational services, which should be contextualized to the geographic, cultural and linguistic environment of students, taking into account the limited telecommunications and electricity coverage of indigenous communities in Peru.""",,"""I. O. Yahuarcani; L. Antony Saravia Llaja; A. M. Nuñez Satalaya; E. Alana Rojas Alva; A. R. Pezo; E. Gutiérrez Gómez; J. E. García Díaz""",2020,10.1109/CONTIE51334.2020.00046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9407961,IEEE Conferences
"""On the use of Green's summation for tsunami waveform estimation: a case study""","""The method presented here aims to assess the tsunami threat very rapidly after the occurrence of a large earthquake, using as input the parameters of the seismic source, and an approach based on Green's summation. We show that the main weakness of the approach (the need to consider only linear shallow water propagation) is largely compensated by the advantages in terms of computing performance and independence with respect to pre-computed scenarios. To test the approach and to illustrate its implementation in a real environment, we focus on the Sea of Oman, a tsunamigenic area characterized by Makran subduction zone which detailed structure is partially unknown and where secondary tsunami sources must also be taken into account, both for hazard studies and warning purposes. The potential source area is partitioned into a grid of unity water sources. A shallow water (SW) numerical model is used to pre-compute the corresponding empirical Green's functions on several points of interest located on the coasts of Iran, Pakistan and Oman. The comparison between Green's summation and the direct SW computation using the full resolution of the bathymetric grid shows that the accuracy is good enough for practical applications.""",,"""J. M. Miranda; M. A. Baptista; R. Omira""",2014,10.1093/gji/ggu266,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8230493,OUP Journals
"""Security of the information model on process mining: case study of the surgery block""","""In this paper, it is proposed the security of the information model on process mining of the surgery block to safeguard patient information using data visualization. The proposal has taken ISO 27001 as a standard to identify good practices in the detection of various types of computer attacks aimed at evaluating data, collected in business processes. To do this, the process of improvement in the management of the information security risk of a medical establishment is used. The proposed model is based on the application of a suite of computer attack analysis tools to increase the level of security of the company's processes. The proposal is based on 6 phases: 1. Assess risks, 2. Implement controls, 3. Define a treatment plan, 4. Process mining, 5. Data visualization and 6. Evaluation of results. The proposal was validated through an experimental case of a cyber-attack on a medical establishment in Lima, Peru, which did not have fitting controls and contingency plans within its business processes. Preliminary results show that in the face of the support of the instruments of our model the level of security has increased by 25% with our proposal.""",,"""I. P. Cardenas; M. Espinoza; J. Armas-Aguirre; H. Aguirre-Mayorga""",2021,10.1109/CONIITI53815.2021.9619668,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9619668,IEEE Conferences
"""The research and application of stability control system operated on Qipanjing Industrial Park isolated power system""","""In recent years, the stability control system not only has been widely used in domestic large power system, regional power grid, new energy systems, and also been successfully applied in abroad, such as southern Kyrgyzstan grid system and Ecuador 230 kV power grid system. The stability control system escorts for the safe and stable operation of the domestic and foreign power grid. With the development of economy, large power grid has reliable power supply, frequency stability, voltage stability advantages, but it can not cover all the electricity demand of the enterprise, which is the reason the isolated power grid exists. The current situation and long term planning in the isolated grid are introduced in Qipanjing Industrial Park in this paper. The characteristics of isolated grid operation and the difficulty of system security control are analyzed. The solution of the stability control system and the engineering application of the system configuration are presented in Qipanjing isolated grid. An important reference is provided for the wide application and design of the stability control device in the isolated network system in the future.""",,"""H. Xuedong; D. Ruhu; C. Gengxin; L. Zhi; X. Shangxue""",2016,10.1109/CICED.2016.7576036,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7576036,IEEE Conferences
"""Influence of a Mobile Application With Augmented Reality ANATOMY-3D in Learning of Bone System""","""The pandemic caused by COVID-19, although it is considered a threat to humanity, also changed the life of the entire planet in different aspects, one of them is education because in a short time it converted the classic face-to-face stage into a virtual stage, a product of compulsory confinement in almost every country in the world. In Peru, this change has many negative consequences, since teachers do not have or know of virtual technological tools to support the student in the learning process. To alleviate this problem, an augmented reality mobile application called ANATOMY-3D was developed, to help students learn and recognize the bones of bone system in 3D. The influence of ANATOMY-3D on the learning of students from a school in the Apurimac region, in Peru, was evaluated, for this, 53 students were taken as a sample, dividing them into an experimental group (GE1) and a control group (G2). the experimental group used ANATOMY-3D and the control group used the traditional method. The results were analyzed in three dimensions: usability, motivation, and a knowledge questionnaire. The results showed that ANATOMY-3D has a good level of usability, promotes better motivation in students to use ANATOMY-3D compared to the traditional method. Finally, the questionnaire showed that ANATOMY-3D positively influences the learning and recognition of the bones of bone system, as it achieved better scores for the experimental group (G1), compared to the control group (G2), with a difference of 0.88 in the mean of the grades.""",,"""H. A. H. Baca; E. C. Benites; F. d. L. P. Valdivia; M. J. Ibarra; M. A. Cruz; I. S. Solis""",2021,10.1109/LACLO54177.2021.00057,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9725175,IEEE Conferences
"""Improved M-Government Based on Mobile WiMAX""","""The opportunities offered by mobile technology continue to expand with the advances in wireless broadband. These days there are a lot of entrenched business solutions, upgraded for mobile devices, which likewise have direct use to services of the government services, work environment practices and involvement of stakeholders. Each advance has challenges. The usage of M-Government will bring several difficulties. Amid them, the most significant for M-Government is the inclusion of infrastructure advancement, protection of information, security, legitimate issues, mobile entrance rate, availability and compatibility. Mobile WiMAX technology is an innovative wireless technology intended to empower pervasive, rapid mobile Internet access to the vastest cluster of gadgets including notebook PCs, handsets, mobile phones and buyer electronics such as gaming gadgets, cameras, and more. Mobile WiMAX conveys cheap networks and it is the first of all Internet mobile IP solution empowering proficient and scalable networks for information, video and voice. This research concerns Mobile Government powered by Mobile WiMAX technology, which delivers the benefits for Mobile Government because of high capacity, reliability, security and all IP communications targeted for the specific environment of Iraq which pose specific challenges.""",,"""I. Marin; N. A. J. Al-Habeeb; N. Goga; A. Vasilateanu; I. -B. Pavaloiu; C. -A. Boiangiu""",2017,10.1109/CSCS.2017.12,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7968540,IEEE Conferences
"""Virtual Iraq: Initial Case Reports from a VR Exposure Therapy Application for Combat-Related Post Traumatic Stress Disorder""","""Post Traumatic Stress Disorder (PTSD) is reported to be caused by traumatic events that are outside the range of usual human experience including (but not limited to) military combat, violent personal assault, being kidnapped or taken hostage and terrorist attacks. Initial data suggests that at least 1 out of 6 Iraq War veterans are exhibiting symptoms of depression, anxiety and PTSD. Virtual Reality (VR) delivered exposure therapy for PTSD has been used with reports of positive outcomes. The aim of the current paper is to present the rationale and brief description of a Virtual Iraq PTSD VR therapy application and present initial findings from two successfully treated patients. The VR treatment environment was created via the recycling of virtual graphic assets that were initially built for the U.S. Army-funded combat tactical simulation scenario and commercially successful X-Box game, Full Spectrum Warrior, in addition to other available and newly created assets. Thus far, Virtual Iraq consists of a series of customizable virtual scenarios designed to represent relevant Middle Eastern VR contexts for exposure therapy, including a city and desert road convoy environment. User-centered design feedback needed to iteratively evolve the system was gathered from returning Iraq War veterans in the USA and from a system deployed in Iraq and tested by an Army Combat Stress Control Team.""",,"""A. A. Rizzo; K. Graap; R. N. Mclay; K. Perlman; B. O. Rothbaum; G. Reger; T. Parsons; J. Difede; J. Pair""",2007,10.1109/ICVR.2007.4362152,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4362152,IEEE Conferences
"""A Virtual Iraq System for the Treatment of Combat-Related Posttraumatic Stress Disorder""","""Posttraumatic Stress Disorder (PTSD) is reported to be caused by traumatic events that are outside the range of usual human experience including (but not limited to) military combat, violent personal assault, being kidnapped or taken hostage and terrorist attacks. Initial data suggests that at least 1 out of 5 Iraq War veterans are exhibiting symptoms of depression, anxiety and PTSD. Virtual Reality (VR) delivered exposure therapy for PTSD has been previously used with reports of positive outcomes. The current paper is a follow-up to a paper presented at IEEE VR2006 and will present the rationale and description of a VR PTSD therapy application (Virtual Iraq) and present the findings from its use with active duty service members since the VR2006 presentation. Virtual Iraq consists of a series of customizable virtual scenarios designed to represent relevant Middle Eastern VR contexts for exposure therapy, including a city and desert road convoy environment. User-centered design feedback needed to iteratively evolve the system was gathered from returning Iraq War veterans in the USA and from a system deployed in Iraq and tested by an Army Combat Stress Control Team. Results from an open clinical trial using Virtual Iraq at the Naval Medical Center-San Diego with 20 treatment completers indicate that 16 no longer met PTSD diagnostic criteria at post-treatment, with only one not maintaining treatment gains at 3 month follow-up.""",,"""S. -C. Yeh; B. Newman; M. Liewer; J. Pair; A. Treskunov; G. Reger; B. Rothbaum; J. Difede; J. Spitalnick; R. McLay; T. Parsons; A. Rizzo""",2009,10.1109/VR.2009.4811017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4811017,IEEE Conferences
"""Blockchain based Digital Identity Management System: A Case Study of Myanmar""","""Although Blockchain technology is formerly invented for digital currencies such as Bitcoin, its applications have extended into such areas as fair voting, healthcare, banking, and digital identity. A blockchain `s data is cryptographically connected and distributed across multiple computers, making them nearly impossible to temper with. Hence, this paper considers the possible use of introducing blockchain technology for digital identity management system for the issue of digital identity (passport) in Myanmar. Through blockchain technology, all the passport offices in Myanmar will be connected to each other in decentralized environment and enough passport information of a person can be securely shared within peers. Therefore, the proposed system can hinder the illegal duplication of passports (different types) since a valid passport can be issued only once to a person (except passport loss, renewal and expired) and it is impossible for a person to apply more than one passport type in the decentralized system. In addition, in the proposed system, the authenticity of passport can also be verified after granting permission for international travel. Therefore, the proposed system can be effectively applied for the passport offices in Myanmar for verifying the passport application and its data authentication.""",,"""M. Htet; P. T. Yee; J. R. Rajasekera""",2020,10.1109/ICAIT51105.2020.9261785,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9261785,IEEE Conferences
"""A Novel Remote User Authentication Scheme by using Private Blockchain-Based Secure Access Control for Agriculture Monitoring""","""Pakistan is an agricultural country and its economy is mainly dependent on agriculture. Agriculture provides large economic opportunities along with the yield of food and other raw materials in our life. To increase the yield of products there is a need for the deployment of modern technology. To tackle this problem, a private blockchain-based secure access control for agriculture can be employed to monitor the different climatic parameters such as (light, humidity, temperature, and, soil moisture, etc) in the fields. The environmental and climatic parameters are very important for the quantity, quality, efficient growth of the crops. Also, any kind of unwanted modification, interception, and expunction on these parameters can leave a bad impact on fields and crops. Therefore, privacy and security are key challenges while deploying the monitoring systems in the fields. In this regard, we have designed a novel remote user authentication scheme by using private blockchain-based secure access control for agriculture monitoring. The proposed scheme is authorized through private blockchain access control (PBAC) algorithms and is applied using hyper ledger cello tools. We customarily analyze the privacy and security of the scheme by using a random oracle model. Furthermore, the proposed protocol is secure and resist different sorts of malicious attacks. The proposed scheme is also suitable in a real-life application to avoid all kinds of security attacks.""",,"""J. Arshad; M. A. B. Siddique; Z. Zulfiqar; A. Khokhar; S. Salim; T. Younas; A. U. Rehman; A. Asad""",2020,10.1109/ICEET48479.2020.9048218,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9048218,IEEE Conferences
"""A Review of Cyber-Attack Methods in Cyber-Physical Power System""","""With the application of advanced computer and communication technologies, modern power system transformed into cyber-physical power system (CPPS). CPPS is critical infrastructure for modern society, which has complex dual-direction information flow. The information interactions make CPPS vulnerable to cyber-attacks, resulting in serious consequences in extreme cases. Some power system blackouts accidents had occurred around the world in recent years, such as Ukraine blackouts in 2015 and Venezuela blackouts in 2019. Consequently, it is necessary to summarize and analyze cyber-attack methods on CPPS for the defense against cyber-attacks. In this paper, a review of cyber-attack methods on CPPS is summarized and analyzed. Firstly, this paper summarizes the principles of different cyber-attack methods, such as false data injection attack (FDIA), denial-of-service (DoS) attack and man-in-the-middle (MITM) attack, etc. Secondly, the paper analyzes the applicable scenarios of different cyber-attack methods and studies possible attack methods on equipment and systems such as state estimation, wide area measurement systems (WAMS), smart meters and so on. Finally, according to the characteristics of different attack methods, some defense strategies are presented to against cyber-attacks.""",,"""F. Li; X. Yan; Y. Xie; Z. Sang; X. Yuan""",2019,10.1109/APAP47170.2019.9225126,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9225126,IEEE Conferences
"""National cyber-security policies oriented to BYOD (bring your own device): Systematic review""","""There are some corporate policies in most of companies around the world, focus on mobile devices to be used as BYOD (Bring Your Own Device), but in Ecuador, these policies are not being established yet. In spite of that, this technology has been used frequently, even do some employers don't allow to use employees' mobile devices because of the inherent security risks, without being aware that BYOD carries a lot of advantages such as increase the company's economy, improve its communication skills and help to work at home, which now is a good alternative. Business policies should follow national policy guidelines as already happens in several countries, but in the case of Ecuador, such guidelines are not present in a formal way, the regulatory framework of this human activity that must come from the state has not been developed, not only to regulate the activity, but also to guide its use in a safe and proper manner providing privacy to users in all social and economic activities. This research begins focusing on a systematic review about BYOD's actual situation, its trend and impact, it will continue with the local situation and a proposal of recommendations oriented to have a National Policy in Ecuador.""",,"""A. V. Herrera; M. Ron; C. Rabadão""",2017,10.23919/CISTI.2017.7975953,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975953,IEEE Conferences
"""Smart traffic management system using Internet of Things""","""Traffic management system is a cornerstone of a Smart city. In the current problems of the world, urban mobility is one of the major problems, especially in metropolitan cities. Previous traffic management systems are not capable enough to tackle this growth of traffic on the road networks. The purpose of this paper is to propose a smart traffic management system using the Internet of Things and a decentralized approach to optimize traffic on the roads and intelligent algorithms to manage all traffic situations more accurately. This proposed system is overcoming the flaws of previous traffic management systems. The system takes traffic density as input from cameras which is abstracted from Digital Image Processing technique and sensors data, resultantly giving output as signals management. An algorithm is used to predicts the traffic density for future to minimize the traffic congestion. Besides this, RFIDs are also used to prioritize the emergency vehicles like ambulance, fire brigade etc. by implementing RFID tags in such vehicles. In the case of emergency situations, such as fire explosion or burning of something, fire and smoke sensors are also deployed on the road to detect such situations. Moreover, a mobile application is connected to a centralized server which intimates to nearby rescue department about fire explosion with the location to take further action. In addition, the native user can ask about future traffic condition at a particular node. The proposed system is validated by constructing a prototype and deploying it in a city of Pakistan. A web application is also there to provide useful information in graphical formats to the higher authorities of the smart city which is fruitful in future road planning.""",,"""S. Javaid; A. Sufian; S. Pervaiz; M. Tanveer""",2018,10.23919/ICACT.2018.8323769,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8323769,IEEE Conferences
"""Mobile Technology Model to Collection Information of Self-Assisted Clinical History""","""In this paper, we propose a mobile technology model to collection information of self-assisted clinical history. The model allows the collection of patient information through a mobile application with the aim of facilitating care in health centers and clinics of Peru. It should be noted that the patient is autonomous to record their health history obtained until the date of their consultation. This technology model is implemented under a Cloud Computing platform that allows integration with the various devices for the process of capturing medical information. It also considers the flow of data processing through the services acquired, the privacy and security of data for the use of sensitive data that makes up the patient's clinical history and, finally, the management and treatment of data to ensure its availability. The transfer of patient health information is done through a security code generated in the application, in such a way that the sensitive data of the patient is visible to the doctor who requests this information.""",,"""J. Serrato-López; R. P. Pacheco-Rojas; J. Armas-Aguirre""",2018,10.1109/INTERCON.2018.8526434,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8526434,IEEE Conferences
"""Information Security Awareness: Comparing perceptions and training preferences""","""Use of the Internet has become our second nature. With each passing day computers and mobile devices are becoming ubiquitous in our society. In this backdrop the confidentiality of information is now a question of paramount importance. It is understood fact now that merely technical security solutions cannot guarantee security. End users are required to have solid understanding of the security issues. This study is carried out to compare and understand the perceived Information Technology (IT) and Information Security knowledge level of Information and Communication Technologies (ICT) users of two countries, Pakistan and Finland. The respondents are university students belonging to different age groups and with different educational background. Perception of respondents regarding Information Security Awareness (ISA) has been compared and no significant difference has been found. There is visible difference among information sharing habits in both groups of respondents. In both cases, respondents turn to similar sources for information security knowledge, however, there is difference in order of preference. Preferences toward Information Security related trainings are also same but with difference in order.""",,"""A. Farooq; S. R. U. Kakakhel""",2013,10.1109/NCIA.2013.6725324,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6725324,IEEE Conferences
