"App analysis","Type of security issue","Security is only mentioned, not the main focus","Security is the main focus","Users study","Not MAR","Mobile App related (MAR)","Document Title","Abstract","Chosen","Authors","Publication Year","DOI","Link","Content type"
"No","""Fraud via SMS""","No","Yes","Yes","No","No","""""An Assessment of SMS Fraud in Pakistan""""","""""SMS fraud has become a growing concern for those working toward financial inclusion, however, it is often unclear how widespread such threats are in practice. This multi-method study investigates SMS fraud in Pakistan through identification and categorization of fraudulent messages as well as the impact on those who receive such messages. We collect fraudulent SMS messages by various means, including byway of a custom-built Android smartphone application. To complement this, we interview people exposed to SMS fraud and representatives of mobile network operators. Based on our analysis, lottery type fraud schemes dominate SMS fraud in Pakistan, and these schemes have the greatest impact on vulnerable low-income, rural populations. We offer a simple heuristic for fraud detection that has a high accuracy rate and is adaptable to evolving fraud schemes, and conclude with a recommendation for a fraud mitigation strategy to target fraudster call back numbers.""""","","""""Pervaiz F,Nawaz RS,Ramzan MU,Usmani MZ,Mare S,Heimerl K,Kamiran F,Anderson R,Razaq L""""","2019","10.1145/3314344.3332500","https://doi-org.proxy.bnl.lu/10.1145/3314344.3332500","Conference Paper"
"No","""Security and privacy""","Yes","No","Yes","Yes","No","""""An Empirical Investigation on Acceptance of Mobile Payment System Services in Jordan: Extending UTAUT2 Model with Security and Privacy""""","""""Several developed and developing countries have launched a mobile payment system service, which is known in Jordan as Jordan Mobile Payment (JoMoPay) system to overcome the drawbacks of traditional payment system. The system supports payment transactions by utilising mobile phones applications. However, the acceptance of JoMoPay system in Jordan is still below the level of expectation. This study was undertaken to understand and explain the acceptance of JoMoPay system based on extending the unified theory of acceptance and use of technology (UTAUT2) model in the Jordanian context. The model was extended by considering two additional constructs namely; security and privacy. Utilising a self-reported survey, collected data was analysed using structural equation modelling (SEM) to test the research model. Five constructs were found to be the determinants of behavioural intention to use JoMoPay system, namely performance expectancy, social influence, price value, security and privacy. Together they account for 61.4% of the variance in behavioural intention. However, effort expectancy, facilitating condition and hedonic motivation did not have a significant impact on behavioural intention to use JoMoPay system and hence the related hypotheses were not supported. Lastly, conclusions, limitations and future research directions will be discussed further in the last section of the paper.""""","","""""Al-Okaily M,Rahman MS,Ali A,Abu-Shanab E,Masa'deh R""""","2023","10.1504/ijbis.2023.128306","https://doi-org.proxy.bnl.lu/10.1504/ijbis.2023.128306","Journal Article"
"No","""""","No","Yes","No","Yes","No","""""Analysis of mobile payment security measures and different standards""""","""""If mobile technology fulfils its possibilities, then users could be making payments with their mobile phones. Researchers in Pakistan look at the technologies and security concepts.""""","","""""Saleem Kadhiwal and Anwar Usman Shaheed Zulfiquar""""","2007","https://doi.org/10.1016/S1361-3723(07)70077-5","https://www.sciencedirect.com/science/article/pii/S1361372307700775","article"
"No","""""","Yes","No","No","Yes","No","""""Analysis of mobile wallet model applicable for Ecuador""""","""""Nowadays, the combination of fast growing of mobile phones with the great development of mobile technologies have caused a strong growth potential for mobile electronic commerce across the developing countries as Ecuador. This paper describes the main headlines in order to implement the mobile wallet in Ecuador. There are important challenges to overcome, like the essential agreement between government, mobile networks operators (MNO), banks, consumers, merchants, and others. In addition, this article will be focus on the security and regulatory aspects. The purpose of this study is to provide a starting point to raise a technical analysis of the mobile wallet with all aspects that compose it; reviewing the available technologies and the existing business models to conclude which is the most viable for application in Ecuador.""""","","""""L. F. G. Vásquez; D. A. C. Dután; E. E. O. Figueroa""""","2016","10.1109/EIConRusNW.2016.7448313","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7448313","IEEE Conferences"
"Yes","""Permissions abused""","No","Yes","No","No","Yes","""""Analysis of the Impact of Permissions on the Vulnerability of Mobile Applications""""","""""In this paper, we explored the potential risks of authorizations unexplained by benign apps in order to maintain the confidentiality and availability of personal data. More precisely, we focused on the mechanisms for managing risk permissions under Android to limit the impact of these permissions on vulnerability vectors. We analyzed a sample of forty (40) apps developed in Burkina Faso and identified abuses of dangerous authorizations in several apps in relation to their functional needs. We also discovered combinations of dangerous permissions because it exposes the confidentiality of the data. This analysis allowed us to establish a link between permissions and vulnerabilities, as a source of risk of data security. These risks facilitate exploits of privileges that should be reduced. We have therefore proposed the need to coordinate resolution mechanisms to the administrators, developers, users to better guide the required permissions by benign apps on Android.""""","Yes","""""Gouayon Koala; Didier Bassolé; Aminata Zerbo/Sabané; Tegawendé F. Bissyandé; Oumarou Sié""""","2020","10.1007/978-3-030-41593-8_1","https://link.springer.com/chapter/10.1007/978-3-030-41593-8_1","chapter"
"No","""""","No","No","Yes","Yes","No","""""Building cyber security awareness in a developing country: Lessons from Myanmar""""","""""The paper discusses the arguments for inclusion of cybersecurity awareness building in development assistance programs. We note that cybersecurity awareness building can strengthen the resilience of productivity-enhancing services, such as mobile banking and e-payment systems, and benefit economic growth. We develop a typology of cybersecurity strategies involving government, the private sector and the international community. The paper describes an Australian-funded program delivered by Monash University to overcome cyber errorism by strengthening cybersecurity capacity and awareness in Myanmar and explains how and why it was delivered. Drawing on the program's experience, the paper identifies various challenges to managing an effective program as well as eight lessons learned which might be applicable to other programs. Key amongst the lessons learned is the need for a solid understanding of how the internet is accessed and used in the host country, and the need for local content to attract target audience attention.""""","","""""Lennon Y.C. Chang and Nicholas Coppel""""","2020","https://doi.org/10.1016/j.cose.2020.101959","https://www.sciencedirect.com/science/article/pii/S0167404820302352","article"
"No","""Fraud""","No","Yes","No","Yes","No","""""Classifying Swahili Smishing Attacks for Mobile Money Users: A Machine-Learning Approach""""","""""Due to the massive adoption of mobile money in Sub-Saharan countries, the global transaction value of mobile money exceeded  $\$ $ 2 billion in 2021. Projections show transaction values will exceed  $\$ $ 3 billion by the end of 2022, and Sub-Saharan Africa contributes half of the daily transactions. SMS (Short Message Service) phishing cost corporations and individuals millions of dollars annually. Spammers use Smishing (SMS Phishing) messages to trick a mobile money user into sending electronic cash to an unintended mobile wallet. Though Smishing is an incarnation of phishing, they differ in the information available and attack strategy. As a result, detecting Smishing becomes difficult. Numerous models and techniques to detect Smishing attacks have been introduced for high-resource languages, yet few target low-resource languages such as Swahili. This study proposes a machine-learning based model to classify Swahili Smishing text messages targeting mobile money users. Experimental results show a hybrid model of Extratree classifier feature selection and Random Forest using TFIDF (Term Frequency Inverse Document Frequency) vectorization yields the best model with an accuracy score of 99.86%. Results are measured against a baseline Multinomial Naïve-Bayes model. In addition, comparison with a set of other classic classifiers is also done. The model returns the lowest false positive and false negative of 2 and 4, respectively, with a Log-Loss of 0.04. A Swahili dataset with 32259 messages is used for performance evaluation.""""","","""""I. S. Mambina; J. D. Ndibwile; K. F. Michael""""","2022","10.1109/ACCESS.2022.3196464","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9849641","IEEE Journals"
"No","""""","Yes","No","No","Yes","No","""""Computing Security in the Developing World: A Case for Multidisciplinary Research""""","""""Technology users in the developing world face a varied and complex set of computer security concerns. These challenges are deeply tied to a range of contextual factors including poor infrastructure, non-traditional usage patterns, and different attitudes towards security, which make simply importing security solutions from industrialized nations inadequate. Recognizing this, we describe some of the specific security risks in developing regions and their relationships with technical, political, social, and economic factors. We present concrete examples of how these factors affect the security of individuals, groups, and key applications such as mobile banking. Our analysis highlights the urgency of the concerns that need attention and presents an important intellectual challenge for the research community.""""","","""""Ben-David Y,Hasan S,Pal J,Vallentin M,Panjwani S,Gutheim P,Chen J,Brewer EA""""","2011","10.1145/1999927.1999939","https://doi-org.proxy.bnl.lu/10.1145/1999927.1999939","Conference Paper"
"No","""""","Yes","No","Yes","Yes","No","""""Consumer Adoption of Mobile Payment Systems in Malawi: Case of Airtel Malawi ZAP in Blantyre City""""","""""Mobile payment enables consumers to purchase goods and services as well as transfer money using a mobile phone. This qualitative study aimed at investigating the factors that are affecting consumers in using mobile payment in Malawi using Zap [mobile payment system] as an example. Snowball sampling technique was used to identify study participants in Blantyre District. Inductive and deductive qualitative data analyses were carried out based on the transcriptions of interviews. Study findings show that relative advantage, complexity, compatibility, cost, trust and security, network externalities and situational factors affect use of mobile payment systems. In addition, personal characteristics and use of mass media play a role in the adoption of mobile payment systems. The findings reinforce the existing theory of Diffusion of Innovation and adoption of mobile payment systems. The study recommends improvement in the network stability, extension of the service to banks and utility service providers, and recruitment of more mobile payment agents across the country.""""","","""""Menard Nyirenda; Patrick Albert Chikumba""""","2014","10.1007/978-3-319-08368-1_22","https://link.springer.com/chapter/10.1007/978-3-319-08368-1_22","chapter"
"No","""""","Yes","No","Yes","Yes","No","""""Customer Perception on Online Banking System in Bhutan: A Study on Mobile Banking of Bank of Bhutan""""","""""A descriptive study on customer satisfaction on mBoB (Mobile Bank of Bhutan) service in Bhutan examined the satisfaction level and challenges faced by mBoB users in Bhutan. For this purpose, a primary data was collected with the help of structured questionnaire consisting 28 items. A convenience sampling technique was adopted to select a total of 150 respondents around Bhutan locality. The data gathered were analyzed with the help of descriptive statistics like simple frequency, percentages and mean. The study revealed that factors to ease of use, security, accessibility for 24 hours were statistically significant and has positive effects on customer satisfaction on using mBoB. The study also shows that strong internet is mandatory to access the service as weak internet hampers while accessing the service.""""","","""""P. Tshering; P. R. Dhungyel; L. Yangdon""""","2018","10.1109/ICCTCT.2018.8551040","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8551040","IEEE Conferences"
"No","""""","No","Yes","Yes","Yes","No","""""Cybersecurity Awareness Based on Software and E-Mail Security with Statistical Analysis""""","""""The aim of this study is to discover the impact of software security and e-mail security on overall cybersecurity among the students of Imam Abdulrahman Bin Faisal University in Dammam. Another main purpose to conduct this study is to know the level of knowledge students have in the developing countries about the cybersecurity and how much are they mindful of cyber-attacks and the level of awareness among the university students. Two important hypotheses were studied to discover their importance in awareness of cybersecurity. One is software security, and the other is e-mail security. A total of 11 relevant questions were drafted, and then these questions were distributed among the university students, and around 390 responded to the questionnaires. Statistical analysis was performed on the responses using tools. Initial tests such as validity and reliability test, feasibility test of a variable, correlation test, multicollinearity test, multiple regression, and Heteroskedasticity test were conducted using SPSS. And furthermore, multiple linear regression model and coefficient of determination, hypothesis test, ANOVA test, and partial test were conducted using ANOVA. The outcome of the analysis is software security variable (X1) that has a significant and positive effect on cybersecurity awareness (p value ≤0.001, β = 0.192). This shows that having a thorough understanding of software security can raise cybersecurity awareness up to 19.2%. E-mail security variable (X2) has a significant and positive effect on cybersecurityawareness (p-value ≤0.000). This shows that having a thorough understanding of email security can raise cybersecurity awareness up to 31.3%. Software security (X1) and e-mail security (X2) variables simultaneously have a significant effect on cybersecurity awareness (p-value ≤0.000) with a correlation coefficient of 12.1% (R2 = 0.121). This shows that the independent variable used can explain the level of cybersecurity awareness up to 12.1%. Research results show that students are aware of software or application updates. Furthermore, students’ awareness of email security is also good.""""","","""""Alqahtani MA,Kumar V""""","2022","10.1155/2022/6775980","https://doi-org.proxy.bnl.lu/10.1155/2022/6775980","Journal Article"
"No","""""","No","Yes","No","Yes","No","""""Cybersecurity issues on web-based systems in Nigeria: M-learning case study""""","""""There is a rapid growth of the application of mobile devices as a learning aid especially in developing countries such as Nigeria largely due to affordability, interest and availability of mobile handheld devices. Though web-based learning systems such as m-learning are used nowadays to support several learning activities and learners are generally willing to use the devices for learning, cybersecurity negligence poses a huge threat to this beneficial system. This work used questionnaires and interview survey approaches to obtain lecturers and students' opinion and standpoints on the harmful effects of cybersecurity negligence on m-learning as well as possible solutions to the menace of cybersecurity threats. The results of this study identified harmful effects of cybersecurity negligence in m-learning. Also, mitigating approaches were proposed to counter cybersecurity issues on m-learning. It was recommended that appropriate plan and implementation of systems applied in web-based learning must have sufficient cybersecurity administration for m-learning platforms. This must be considered for enhanced learning, efficiency, satisfaction and acceptability of m-learning solutions.""""","","""""S. S. Oyelere; D. I. Sajoh; Y. M. Malgwi; L. S. Oyelere""""","2015","10.1109/CYBER-Abuja.2015.7360510","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7360510","IEEE Conferences"
"No","""Security and privacy""","Yes","No","Yes","No","Yes","""""Determining factors and impacts of the intention to adopt mobile banking app in Cameroon: Case of SARA by afriland First Bank""""","""""This study aims to know what are the factors determining the adoption of M-Banking app among customers in Cameroon. In other words, what are the factors that influence users in their decisions to adopt and use a system or technology such as the MBanking app, and indirectly, what is the impact of this use on both the customers and financial inclusion? The research model developed relying on a combination of Technology Acceptance Model (TAM ), Unified Theory of Acceptance and Use of Technology ( UTAUT2 ), Information System Success Model ( ISSM ), and Protection Motivation Theory ( PMT ) and other constructs; it was then tested with a sample of 223 users of the “ SARA” M-Banking app of the financial institution called “ Afriland First Bank” . Findings revealed that: (1) utilitarian expectation, hedonic motivation, and status gain, habit, and perceived privacy concern have a significant influence on the intention to adopt M-Banking apps; and (2) the exploitative/explorative use of this technology has an impact on user’s loyalty and satisfaction but also contributes strongly to fostering financial inclusion in Cameroon. Also, the Multi-group analysis was performed on the sample using 2 gender-based groups (males, n=121; females, n=102).""""","Yes","""""Jean Robert {Kala Kamdjoug} and Serge-Lopez Wamba-Taguimdje and Samuel Fosso Wamba and Ingrid Bive'e Kake""""","2021","https://doi.org/10.1016/j.jretconser.2021.102509","https://www.sciencedirect.com/science/article/pii/S0969698921000758","article"
"No","""""","Yes","No","Yes","Yes","No","""""Examining Consumer Adoption and Perception of Mobile Money in Ghana""""","""""This paper investigates the consumer perception of a new electronic financial service in Ghana, namely mobile money MM. We analyse the relationships among five MM-related constructs, which are perceived ease of use PEOU, perceived usefulness PU, perceived mobile money security PMMS, attitude ATT, and intention to use IU. Importantly, the impact of age, family income, and gender on the relationships among the five MM constructs has been studied using a multi-group analysis approach. We find that PEOU, PU, and PMMS are significant determinants of ATT in the MM market in Ghana when age, family income, gender are not considered. However, the relationships among the five constructs exhibit significant variations when age, family income, and gender are considered. We also find an evidence that the effects of age, family income, and gender on consumers' perception of, ATT towards, and intention of using MM are significant in Ghana. The results of this study provide more insights into the research on MM, thus helping the development of marketing strategies for the service.""""","","""""""""","2016","10.1504/IJEF.2016.083490","https://doi-org.proxy.bnl.lu/10.1504/IJEF.2016.083490","Journal Article"
"No","""""","No","No","Yes","Yes","No","""""Examining trust in mobile banking transactions: The case of M-PESA in Kenya""""","""""This chapter examines how trust can emerge and be sustained in the context of mobile transactions. It focuses on M-PESA, a mobile banking system in Kenya, using data from an ethnographic study that was deployed in Kibera—one of Africa’s largest slums. We present research in progress and discuss two main findings. Firstly, interpersonal trust relations between the customers and agents are weak. Customers do not trust the agents with their money. Secondly, the institutional trust relations between the customer and Safaricom, the mobile service provider offering M-PESA, are strong. This means that customers use the M-PESA service because they believe that their money will be kept safe by Safaricom. After providing empirical evidence to substantiate these claims, this study concludes by suggesting questions for future research.""""","","""""Olga Morawczynski; Gianluca Miscione""""","2008","10.1007/978-0-387-84822-8_19","https://link.springer.com/chapter/10.1007/978-0-387-84822-8_19","chapter"
"No","""""","No","Yes","No","No","No","""""Exploiting Multi-Vendor Vulnerabilities as Back-Doors to Counter the Threat of Rogue Small Unmanned Aerial Systems""""","""""A recent trend for many malicious actors, such as: (1) terrorists in Iraq and Syria, (2) lone wolf domestic terrorists, (3) drug cartels, or (4) espionage-minded corporations, has been to use commercial-off-the-shelf (COTS) small unmanned aerial systems (sUAS) (i.e., drones) that can circumvent ground-based defenses to attack or spy on targets, to transport contraband, or to steal information. Because of the low cost of COTS sUAS and the prior success of these uses, this trend is increasing at an alarming rate, leading to the need to counter the malicious usage of sUAS (i.e., rogue sUAS). Researchers, the armed forces, and technologists have all proposed disparate solutions to this problem. There are no comprehensive and compact solutions capable of effectively tracking, identifying, and actively neutralizing the threats associated with rogue sUAS. Thus, we have developed a mobile cyber solution, using rigorous penetration testing across the top sUAS COTS vendors. Based on the market share of these top vendors, our approach is applicable to approximately 90% of all COTS sUAS. We demonstrate that hard-to-patch vulnerabilities (i.e., vulnerabilities that exist across all the top vendors of sUAS) can be used as back-doors to counter the threat of rouge sUAS. Our solution can be launched from a standard laptop or Android mobile device with an external antenna, and is capable of tracking, identifying, and disrupting all Parrot and 3DR sUAS, as well as almost all DJI sUAS (i.e., renders them incapable of video flight) within a 300-meter radius.""""","","""""Watkins L,Ramos J,Snow G,Vallejo J,Robinson WH,Rubin AD,Ciocco J,Jedrzejewski F,Liu J,Li C""""","2018","10.1145/3215466.3215467","https://doi-org.proxy.bnl.lu/10.1145/3215466.3215467","Conference Paper"
"No","""""","Yes","No","","Yes","No","""""Exploring the Influence of Security/Privacy, Trialability, Output Quality and Anxiety on the Adoption of Mobile Decision Support Systems among Nurses: A Developing Country Context""""","""""Nursing staff need to be highly mobile in executing their routine work. Therefore, they may need to catch, deliver and/or receive critical information, orders or alerts via mobile devices at any point of care to help them take immediate decisions/actions or orders to accomplish their tasks quickly. This paper investigates the factors that affect the adoption of mobile decision support systems among nurses in Jordan. Experience and voluntariness as moderators in the proposed model were also investigated. The model was analysed and tested using WarpPLS 5.0 software. The findings of this study have demonstrated that perceived usefulness, perceived ease-of-use, security/privacy, trialability, output quality, and anxiety are important constructs in predicting and affecting intentional behaviour to adopt decision support systems among nurses in Jordan. The model has explained 65% of the variance in behavioural intention. Theoretical contributions and practical implications are outlined. Limitations and suggestions for future studies are discussed.""""","","""""Jaradat MI""""","2021","10.1504/ijmlo.2021.116508","https://doi-org.proxy.bnl.lu/10.1504/ijmlo.2021.116508","Journal Article"
"No","""""","No","No","No","No","No","""""Factors That Influence Challenges and Opportunities of Cryptocurrencies in Developing Countries""""","""""Blockchain is a technology that uses structure in storage. One of the products of blockchain technology is cryptocurrency. Cryptocurrency is an innovation in the fintech field where cryptography-based digital currency can provide various advantages for the community. The problem of cryptocurrencies in developing countries is scalability, security issues, and price volatility. The main advantage with cryptocurrency is low fees and can provide transparency and security of the identity of the owner. This paper is using a systematic literature review on conducting research. The main advantage of this paper is researching the development of blockchain technology that focuses on developing countries where most of the research are conducted for blockchain technology is in developed countries. Cryptocurrencies can help developing countries make various transactions using only smartphones without third parties. However, it is necessary to have sufficient knowledge in using cryptocurrencies because there is still no government regulation, high volatility, and security issues.""""","","""""C. Kurniawan; J. Samuel; Noerlina; T. N. Mursitama""""","2021","10.1109/ICORIS52787.2021.9649457","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9649457","IEEE Conferences"
