Document Title,Abstract,Chosen,Authors,Publication Year,DOI,Link,Journal/Location,Content type
Taking E-Government to the Bottom of the Pyramid: Dial-a-Gov?,"Much attention has been paid to the use of ICTs to improve the delivery of government services to citizens in developing countries. Government and donor funds have adopted two strategies in parallel: (i) the re-engineering and automating of government services, and (ii) the installation of telecenters (community Internet access centers) for citizens to access reengineered government ""e-Gov"" services.The model of delivering e-Gov via the Internet has major drawbacks as shown by survey data representing 397 million people at the Bottom of the Pyramid (BOP) in India, Pakistan, Philippines, Sri Lanka and Thailand. First, only 49\% have even heard of the Internet and only 2.6\% have used it [15]. Second, it will take a lot more time and significant funds to roll-out enough telecenters to cover the BOP sufficiently. Third, most telecenters fail, while the successful ones are sustained by revenues from non-Internet services such as voice calls, fax and photocopying. But even these revenue streams may dwindle - according to our survey, over 40\% of current BOP non-owners plan to purchase a phone within 2 years. They will spend their already-limited communications budgets on phones they own, not at a telecenter.By viewing the telephone as the end-device for e-service delivery, implementers can automate those parts of a government process that can deliver value quickly, through ""smaller"" (less complicated, therefore less likely to fail) applications. By not seeking to re-engineer entire government departments, these projects face less resistance to change from public-sector employees. Given that over 90\% of those at the BOP use phones already [15], significant use is more likely if the necessary attention is paid to language, design and publicity.The Internet, accessed at a telecenter, and sophisticated e-Government systems will play a role in providing ""higher-end"" citizen services, for example submitting a passport application online with an uploaded digital photograph. But at a time when the Internet is barely reaching 10.3 million people at the BOP in these countries, the paper argues that phones are the cheaper, more immediate and ubiquitous tool for Asian governments to inform, transact and interact with almost 400 million of their most needy citizens.The paper presents an alternative, telephone-centric model for electronic delivery of public services citizens. It draws on research conducted by LIRNEasia in 2006 and previously published as well as unpublished e-Gov case studies.",,"Galpaya, Helani and Samarajiva, Rohan and Soysa, Shamistra",2007,10.1145/1328057.1328105,https://doi-org.proxy.bnl.lu/10.1145/1328057.1328105,"Macao, China",
Facilitating Pervasive Community Policing on the Road with Mobile Roadwatch,"We consider community policing on the road with pervasive recording technologies such as dashcams and smartphones where citizens are actively volunteering to capture and report various threats to traffic safety to the police via mobile apps. This kind of novel community policing has recently gained significant popularity in Korea and India. In this work, we identify people's general attitude and concerns toward community policing on the road through an online survey. We then address the major concerns by building a mobile app that supports easy event capture/access, context tagging, and privacy preservation. Our two-week user study (n = 23) showed Roadwatch effectively supported community policing activities on the road. Further, we found that the critical factors for reporting are personal involvement and seriousness of risks, and participants were mainly motivated by their contribution to traffic safety. Finally, we discuss several practical design implications to facilitate community policing on the road.",,"Park, Sangkeun and Ilincai, Emilia-Stefania and Oh, Jeungmin and Kwon, Sujin and Mizouni, Rabeb and Lee, Uichin",2017,10.1145/3025453.3025867,https://doi-org.proxy.bnl.lu/10.1145/3025453.3025867,"Denver, Colorado, USA",
SPSM '15: Proceedings of the 5th Annual ACM CCS Workshop on Security and Privacy in Smartphones and Mobile Devices,"It is our great pleasure to welcome you to the 5th annual ACM CCS Workshop on Security and Privacy in Smartphones and Mobile Devices (SPSM 2015). The workshop was created to organize and foster discussion of security in the emerging area of smartphone and mobile device computing. As organizers of top security venues, we've observed a consistently large number of submissions describing novel approaches to solving the challenges of this area. We wanted to provide a dedicated venue to discuss these challenges and promising approaches for future research directions.The call for papers attracted submissions from Canada, China, Germany, Hong Kong, India, Israel, Mexico, Switzerland, United Arab Emirates, United Kingdom, and the United States. The program committee reviewed and accepted 9 of 25 submitted papers. We are also honored to have a keynote speech by Alex Manea, Director, BlackBerry Security on The Past, Present and Future of Digital Privacy.We hope that you will find this program interesting and thought-provoking and that the workshop will provide you with a valuable opportunity to share ideas with other researchers and practitioners from institutions around the world.",,,2015,,,"Denver, Colorado, USA",
"IC4E '18: Proceedings of the 9th International Conference on E-Education, E-Business, E-Management and E-Learning","The 9th International Conference on E-Education, E-Business, E-Management and E-Learning (IC4E) was successfully held in San Diego, USA in January 11-13, 2018. IC4E provides a platform for scientists, engineers and technologists who work in all aspects of E-Education, E-Business, E-Management and E-Learning. IC4E 2018 received 43 submissions. Among rigorous peer review, we accepted 24 papers for presentation. These papers are contributed by researchers in many different countries, including Japan, South Korea, China, Taiwan, Hong Kong, Thailand, Philippines, Pakistan, Saudi Arabia, and Nigeria. These papers cover the topics range from knowledge management, personalized learning, micro-lecture construction, security policies, collaborative learning, mobile learning, social media, student behavior tracking, and employment issues.",,,2018,,,"San Diego, California",
ASHES '17: Proceedings of the 2017 Workshop on Attacks and Solutions in Hardware Security,"It is our great pleasure to welcome you to the First Workshop on Attacks and Solutions in Hardware Security 2017 (ASHES 2017), a post-conference satellite workshop of the ACM Conference on Computer and Communications Security 2017 (CCS 2017) in Dallas!ASHES deals with all aspects of hardware security, and welcomes any contributions to this area. Besides being a forum for mainstream hardware security research, its mission is to specifically foster new concepts, solutions, and methodological approaches, and to promote new application scenarios, within the field. This includes, for example, new attack vectors on secure hardware, the merger of nanotechnology and hardware security, novel designs and materials, lightweight security hardware, and physical unclonable functions (PUFs) on the methodological side, as well as the internet of things, automotive security, smart homes, supply chain security, pervasive and wearable computing on the applications side. ASHES thereby aims at giving researchers and practitioners a unique opportunity to share their perspectives with others on various new and emerging aspects of hardware security.In order to account for the nature of hardware security as a rapidly developing discipline, ASHES offers four categories of submissions and papers: Full papersShort papersSystematization of Knowledge (SoK) papers, which structure or survey a certain subarea within hardware securityWild and Crazy (WaC) papers, whose aim is to distribute a promising and potentially seminal research idea at an early stage to the community.Our call for papers attracted overall 20 submissions from Australia (1), Asia (2), Canada (1), Europe (6), India (1), and the United States (9) within these four categories.Six submissions were accepted as papers to the program, amounting to an acceptance rate of exactly 30\%. Out of these six accepted papers, two originate from Europe, and four from the United States.In terms of their scientific topics, two of the six accepted papers deal with solutions in hardware security;one each falls into the above SoK- and WaC-paper categories;and two others deal with attacks on security hardware.This establishes a nice balance between the different themes and paper categories offered by the workshop.The six technical papers are complemented by three carefully chosen keynotes from leading experts in their respective areas, to which we would particularly draw the attendees' attention.In alphabetical order: Srini Devadas (MIT) will talk about ""Secure Hardware and Cryptography: Contrasts, Synergies and Challenges""Ulfar Erlingsson (Google) will deal with ""Data-driven Software Security and its Hardware Support""Ahmad-Reza Sadeghi (Darmstadt) will discuss ""Hardware-Assisted Security: Promises, Pitfalls and Opportunities""",,,2017,,,"Dallas, Texas, USA",
Telechain: Bridging Telecom Policy and Blockchain Practice,"The use of blockchain in regulatory ecosystems is a promising approach to address challenges of compliance among mutually untrusted entities. In this work, we consider applications of blockchain technologies in telecom regulations. In particular, we address growing concerns around Unsolicited Commercial Communication (UCC aka. spam) sent through text messages (SMS) and phone calls in India. Despite several regulatory measures taken to curb the menace of spam it continues to be a nuisance to subscribers while posing challenges to telecom operators and regulators alike. In this paper, we present a consortium blockchain based architecture to address the problem of UCC in India. Our solution improves subscriber experiences, improves the efficiency of regulatory processes while also positively impacting all stakeholders in the telecom ecosystem. Unlike previous approaches to the problem of UCC, which are all ex-post, our approach to adherence to the regulations is ex-ante. The proposal described in this paper is a primary contributor to the revision of regulations concerning UCC and spam by the Telecom Regulatory Authority of India (TRAI). The new regulations published in July 2018 were first of a kind in the world and amended the 2010 Telecom Commercial Communication Customer Preference Regulation (TCCCPR), through mandating the use of a blockchain/distributed ledgers in addressing the UCC problem. In this paper, we provide a holistic account of of the projects’ evolution from (1) its design and strategy, to (2) regulatory and policy action, (3) country wide implementation and deployment, and (4) evaluation and impact of the work. While the scope of the work presented in this paper is in the context of the UCC problem in India, we believe that the approach can be generalized to adopt blockchain based solutions to improve regulatory processes in other contexts and countries. We hope this account will serve as a useful case study for the stakeholders of the telecommunications ecosystem and regulators, and motivate countries across the world facing similar challenges to consider the viability of the technology, be convinced to establish it, continue efforts at addressing active research challenges, and scale the technology from our experiences.",,"Singanamalla, Sudheesh and Mehra, Apurv and Chandran, Nishanth and Lohchab, Himanshi and Chava, Seshanuradha and Kadayan, Asit and Bajpai, Sunil and Heimerl, Kurtis and Anderson, Richard and Lokam, Satya",2022,10.1145/3530190.3534820,https://doi-org.proxy.bnl.lu/10.1145/3530190.3534820,"Seattle, WA, USA",
A Fault Tolerant and Secured Network Design for File and Application Sharing in a Mid-Sized Business Environment,"This study aims to observe and improve design infrastructure of a mid-sized business focusing on the security and fault tolerant network architecture characteristics. The case site is a recruitment agency in the Philippines, categorized as a mid-sized company that needs improvement in its network design and the main requirement is to link all offices with the headquarters office for more secure file sharing and application sharing. Moreover, due to massive cyberattacks, the design will also consider the use of modern network security tools. The new network design allows secure file sharing between the headquarter office to the other five branches in the Philippines thru implementation of DNS Servers, FTP and Internal Web Server, Simplewall Firewall and NAS Setup, Cobian Backup \&amp; DMZ. Branch connectivity uses IPSEC DMVPN tunnels, dynamic routing and only permit authorized VPN connections to access HQ resources. The IPSec DMVPN allows ease and secure file sharing between branches with scalability in mind. In the test validation, the proposed network infrastructure achieved a 100\% success rate in its functionality (using ping and tracert utility) based on the simulation conducted in the ""GNS3"" platform. Finally, based on the vulnerability assessments conducted, the proposed network design has protection from MAC Address Flooding, Ping of Death (DOS) and VPN sniffing.",,"Blancaflor, Eric B. and Chua, Christian Collins C. and Parallag, Vince Anthony A. and Rey, William P. and Tamarauoyerimini, Sanami and Samonte, Mary Jane",2020,10.1145/3429523.3429528,https://doi-org.proxy.bnl.lu/10.1145/3429523.3429528,"Okinawa, Japan",
Jettisoning Junk Messaging in the Era of End-to-End Encryption: A Case Study of WhatsApp,"WhatsApp is a popular messaging app used by over a billion users around the globe. Due to this popularity, understanding misbehavior on WhatsApp is an important issue. The sending of unwanted junk messages by unknown contacts via WhatsApp remains understudied by researchers, in part because of the end-to-end encryption offered by the platform. We address this gap by studying junk messaging on a multilingual dataset of 2.6M messages sent to 5K public WhatsApp groups in India. We characterise both junk content and senders. We find that nearly 1 in 10 messages is unwanted content sent by junk senders, and a number of unique strategies are employed to reflect challenges faced on WhatsApp, e.g., the need to change phone numbers regularly. We finally experiment with on-device classification to automate the detection of junk, whilst respecting end-to-end encryption.",,"Agarwal, Pushkal and Raman, Aravindh and Ibosiola, Damiola and Sastry, Nishanth and Tyson, Gareth and Garimella, Kiran",2022,10.1145/3485447.3512130,https://doi-org.proxy.bnl.lu/10.1145/3485447.3512130,"Virtual Event, Lyon, France",
A Novel Approach to Identify Spatio-Temporal Crime Pattern in Dhaka City,"Street crime is a prevalent problem in developing countries like Bangladesh. Though this problem has been identified long before, no visible remedy or action can be seen to overcome or combat these street crimes in one of the most populated mega-cities, Dhaka, Bangladesh, of the world. In this paper, we propose a novel spatio-temporal street crime prediction model that exploits the historical street crime data of Dhaka city to predict the possibility of a crime in a particular region at a specific time. Our model captures both space and time proximity of past crimes while predicting a future crime. Experimental evaluation shows that our spatiotemporal prediction model can predict a future crime with 79.24\% sensitivity and 68.2\% specificity. As a proof of concept we develop an Android application that alerts a user about the possibility of different crimes in a place at a particular time.",,"Parvez, Md. Rizwan and Mosharraf, Turash and Ali, Mohammed Eunus",2016,10.1145/2909609.2909624,https://doi-org.proxy.bnl.lu/10.1145/2909609.2909624,"Ann Arbor, MI, USA",
Society-Oriented Applications Development: Investigating Users' Values from Bangladeshi Agriculture Mobile Applications,"Limited consideration of users' values in mobile applications (apps) can lead to user disappointments and negative socio-economic consequences. Therefore, it is important to consider values in app development to avoid such adverse effects and to secure the optimum use of apps. With this aim, we conducted a case study to identify the users' desired values that are either reflected or missing in the existing Bangladeshi agriculture mobile apps. We manually analyzed 1522 reviews from 29 existing Bangladeshi agriculture apps in Google Play by following a widely used human values theory, Schwartz's theory of basic human values. Our results show that users of the selected apps have twenty one (21) desired individual values where eleven (11) values are reflected in the apps and ten (10) values are missing. This research provides a basis for the developers to design apps that consider users' values. It also provides a direction on which values they should address while developing apps. Moreover, repeating this research in different domains or societies would result in society-oriented apps that are more sensitive to users' values.",,"Shams, Rifat Ara and Hussain, Waqar and Oliver, Gillian and Nurwidyantoro, Arif and Perera, Harsha and Whittle, Jon",2020,10.1145/3377815.3381382,https://doi-org.proxy.bnl.lu/10.1145/3377815.3381382,"Seoul, South Korea",
MobiPot: Understanding Mobile Telephony Threats with Honeycards,"Over the past decade, the number of mobile phones has increased dramatically, overtaking the world population in October 2014. In developing countries like India and China, mobile subscribers outnumber traditional landline users and account for over 90\% of the active population. At the same time, convergence of telephony with the Internet with technologies like VoIP makes it possible to reach a large number of telephone users at a low or no cost via voice calls or SMS (short message service) messages. As a consequence, cybercriminals are abusing the telephony channel to launch attacks, e.g., scams that offer fraudulent services and voice-based phishing or vishing, that have previously relied on the Internet. In this paper, we introduce and deploy the first mobile phone honeypot called MobiPot that allow us to collect fraudulent calls and SMS messages. We implement multiple ways of advertising mobile numbers (honeycards) on MobiPot to investigate how fraudsters collect phone numbers that are targeted by them. During a period of over seven months, MobiPot collected over two thousand voice calls and SMS messages, and we confirmed that over half of them were unsolicited. We found that seeding honeycards enables us to discover attacks on the mobile phone numbers which were not known before.",,"Balduzzi, Marco and Gupta, Payas and Gu, Lion and Gao, Debin and Ahamad, Mustaque",2016,10.1145/2897845.2897890,https://doi-org.proxy.bnl.lu/10.1145/2897845.2897890,"Xi'an, China",
PHYTO: An IoT Urban Gardening Mobile App,"Urban gardening has taken the interest of people in the Philippines. Due to several reasons, such as better quality of produce, less expensive alternative, and with the accessibility of the Internet, it has been made possible for people to gain the information they need for gardening and equipment. The recent advancement and dependence on the Internet today, allowed the development of Internet of things (IoT). With IoT, it is possible to connect anything to the ""cloud"" using hardware such as a microcontroller units. Application of this technology could be seen from agriculture, manufacturing, health and home security. This study focused on the integration of urban agriculture on indoor gardening. The developed system provided plant owners and enthusiasts a possible way of monitoring plants' condition in an indoor setup through a mobile application. The mobile application gives updates and information, such as light and water plant needs, through the use of microcontroller unit sensors and other components. Sensors used and connected to the indoor plants provide information like the indoor temperature and humidity, plant's soil moisture and the water level of the water source. By using a mobile application, analysis of the plant conditions can be determined and known by the plant owners through a connection with the cloud. This study shows that the developed system is highly recommended as a means of alternative urban gardening and has a high commercial viability.",,"Samonte, Mary Jane C. and Signo, Eugene Paolo E. and Gayomali, Raphael Julian M. and Rey, William P. and Serrano, Elcid A.",2019,10.1145/3322645.3322659,https://doi-org.proxy.bnl.lu/10.1145/3322645.3322659,"Tokyo, Japan",
Liberating Stories about a Terrorist Attack,"In recent years, there has been a digital revolution in Bangladesh. We have explored digital storytelling among families as a way of sharing personal feelings, experiences regarding a terrorist attack that took place four years ago. Many of these feelings were not shared explicitly for various social, political reasons hampering freedom of expression. The goal of the work was to ensure social justice through ways to express feelings in a trusted platform. The research explored seventeen families over fifty stories using ethnographic study methods. Storytellers were able to express themselves through family-storytelling. We have used a simple tool named Golpokotha, a mobile application that enables secured storytelling that remains private unless the user prefers to share it with other family members. Contribution of this work lies in unveiling the overall picture exploring storytelling as a medium of expression from the trauma of a national crisis from a developing country perspective. We found that most of the participants went through silence, fear, humiliations, blame game, and stigma after the crisis which resisted expressing themselves through stories. Participants chose to overcome these barriers through their sense of responsibility, optimism, and social isolation. In the long run, their inspirations and reminiscence of innocent victims’ contributions motivated them to return to their normal life before the attack. Overall, our findings suggest liberating stories, designs, and policies to combat challenging times.",,"Ahmed, Nova and Tasnim, Zareen",2023,10.1145/3572334.3572380,https://doi-org.proxy.bnl.lu/10.1145/3572334.3572380,"Seattle, WA, USA",
ASHES '18: Proceedings of the 2018 Workshop on Attacks and Solutions in Hardware Security,"It is our great pleasure to welcome you to the Second Workshop on Attacks and Solutions in Hardware Security 2018 (ASHES 2018), a post-conference satellite workshop of the ACM Conference on Computer and Communications Security 2018 (CCS 2018) in Toronto, Canada!ASHES deals with all aspects of hardware security, and welcomes any contributions to this area. Besides being a forum for mainstream hardware security research, its mission is to specifically foster new concepts, solutions, and methodological approaches, and to promote new application scenarios. This includes, for example, new attack vectors on secure hardware, the merger of nanotechnology and hardware security, novel designs and materials, lightweight security hardware, and physical unclonable functions (PUFs) on the methodological side, as well as the internet of things, automotive security, smart homes, supply chain security, pervasive and wearable computing on the applications side. ASHES thereby aims at giving researchers and practitioners a unique opportunity to share their perspectives with others on various emerging aspects of hardware security research.In order to account for hardware security as a rapidly developing discipline, ASHES routinely offers four categories of submission: Full papers; Short papers;Systematization of Knowledge (SoK) papers, which structure or survey a certain subarea within hardware security; Wild and Crazy (WaC) papers, whose aim is to distribute a promising and potentially seminal research idea at an early stage to the community.Our call for papers this year attracted 30 submissions overall, of which 27 were conforming to submission and formatting requirements. This marks an increase of 50 percent compared to last year, where ASHES 2017 had received 20 submissions. Two submissions fell into the wild-andcrazy paper category; one into the systematization of knowledge category; the rest were regular full and short papers. Geographically, the different co-authors of submissions this year were associated with institutions in the US (18), closely followed by Europe (13), and India (1).",,,2018,,,"Toronto, Canada",
Big Data Analysis Driven Decision Making System Ensuring Energy Security of a Country,"Energy is one of the key factors for a country's economic and social growth. Bangladesh is constantly seeking sustainable energy sources for securing its increasing energy demand as energy security is a national concern. Currently, Bangladesh is producing 64\% of electricity using natural gas while 25\% is coming from petroleum and the rest from coal, renewable sources [1]. To reduce pressure from the natural gas government is trying to diversify the energy sources. To achieve sustainable diversified energy sources, the Sustainable and Renewable Energy Development Authority (SREDA) has taken many initiatives. Energy Master Plan has been created which targets to improve Primary Energy consumption per GDP by 20\% in the year 2030. Many software applications have been developed by SREDA to monitor the progress. We propose to develop another system for energy data analysis and generate reports accordingly. Policymakers can use those reports to make strategic decisions to secure the country's energy consumption, distribution and manage the demand side. In this research work, we discussed how a big data-based solution can be developed and used to forecast the energy balance which ensures the energy security of Bangladesh. We also discuss different aspects of the proposed software system in detail including challenges and possible solutions to overcome those challenges.",,"Islam, Mahmudul and Hasan, Mahady",2021,10.1145/3477911.3477921,https://doi-org.proxy.bnl.lu/10.1145/3477911.3477921,"Vienna, Austria",
Providing Patient Centric Healthcare to Diabetic Patients Using D-Care Recommender System,"Diabetes mellitus is one of the severe diseases prevailing in developing countries like India. High level of sugar in blood and urine leads to diabetes which damages the kidneys, eyes, nerves, blood vessels, heart with potential risk of life threat if not cured in time. Diabetes can be prevented with physical exercises, work out, and healthy diet. Diabetes can also be cured if detected in early stages. However, in today's busy life people tend to ignore physical activity and take unhealthy food causing high glucose level in blood. Patients are generally diagnosed with diabetes in late stages due to which it becomes challenging to cure the disease. To prevent and detect the diabetes in early stages, a solution is needed which can integrated with user's day-to-day life and can continuously monitor their diet/fold and physical activities. In this paper, we are proposing cloud-based recommender system/engine which will further integrate with user's smartphone and wearable devices to prevent diabetes by recommending healthy lifestyle and diet to diabetic patients.",,"Bateja, Ritika and Dubey, Sanjay Kumar and Bhatt, Ashutosh",2019,10.1145/3339311.3339348,https://doi-org.proxy.bnl.lu/10.1145/3339311.3339348,"Shimla, India",
"Session Details: TRECK - Trust, Reputation, Evidence and Other Collaboration Know-How Track","Computational trust and online reputation services have reached the mass market. Traditional business intelligence tools have even prominently added e-reputation features to promote their solution. The TRECK track in Marrakech, Morocco, will surely foster exciting collaborations and technology transfers, especially for the growing realm of mobile applications and online services related to this ACM SAC track.The trustcomp online community (http://tech.groups.yahoo.com/group/trustcomp/ and http://www.trustcomp.org ) has been set up for the participants of the track and every person working in a field related to TRECK since mid-2004. The trustcomp mailing list now counts more than 290 members composed of a panel of experts from both the academic and the industrial world, with competences from various fields such as security, risk management, business intelligence, Web marketing, human computer interface (HCI)...",,"Chong, Ilyoung and Seigneur, Jean-Marc and Petrlic, Ronald",2017,10.1145/3243978,https://doi-org.proxy.bnl.lu/10.1145/3243978,"Marrakech, Morocco",
Providing Patient Centric Healthcare to Diabetic Patients Using D-Care Recommender System,"Diabetes mellitus is one of the severe diseases prevailing in developing countries like India. High level of sugar in blood and urine leads to diabetes which damages the kidneys, eyes, nerves, blood vessels, heart with potential risk of life threat if not cured in time. Diabetes can be prevented with physical exercises, work out, and healthy diet. Diabetes can also be cured if detected in early stages. However, in today's busy life people tend to ignore physical activity and take unhealthy food causing high glucose level in blood. Patients are generally diagnosed with diabetes in late stages due to which it becomes challenging to cure the disease. To prevent and detect the diabetes in early stages, a solution is needed which can integrated with user's day-to-day life and can continuously monitor their diet/fold and physical activities. In this paper, we are proposing cloud-based recommender system/engine which will further integrate with user's smartphone and wearable devices to prevent diabetes by recommending healthy lifestyle and diet to diabetic patients.",,"Bateja, Ritika and Dubey, Sanjay Kumar and Bhatt, Ashutosh",2019,10.1145/3339311.3339316,https://doi-org.proxy.bnl.lu/10.1145/3339311.3339316,"Shimla, India",
ACSC '08: Proceedings of the Thirty-First Australasian Conference on Computer Science - Volume 74,"The Australasian Computer Science Conference (ACSC) series is an annual forum, bringing together research sub-disciplines in Computer Science. The meeting allows academics and researchers to discuss research topics as well as progress in the field, and policies to stimulate its growth. This volume contains papers presented at the Thirty First ACSC in Wollongong, NSW, Australia. ACSC 2008 is part of the Australasian Computer Science Week which ran from Jan 22nd to 25th, 2008.The ACSC 2008 call for papers solicited contributions in all areas of computer science research. This years conference received submissions from Australia, New Zealand, China, France, India, Iran, Jamaica, Jordon, Malaysia, Pakistan, South Africa, Turkey, UK, and Taiwan. The topics addressed by the submitted papers illustrate the broadness of the discipline. The authors categorised their submissions into one or more of the following topics:- Algorithms (9 papers)- Artificial Intelligence (7 papers)- Communications and Networks (4 papers)- Computer Architecture (2 paper)- Computer Vision (4 papers)- Databases (5 papers)- Distributed Systems (6 papers)- E-Commerce (4 papers)- Formal Methods (6 papers)- Graphics (6 papers)- High Performance Computing (7 papers)- Human-Computer Interaction (8 papers)- Mobile Computing (6 papers)- Multimedia (1 paper)- Object Oriented Systems (3 papers)- Ontologies (1 paper)- Operating Systems (5 papers)- Programming Languages (4 papers)- Robotics (1 paper)- Scientific Computing (5 papers)- Security and Trusted Systems (5 papers)- Simulation (6 papers)- Software Engineering (5 papers)- Speech (1 paper)- Theory (3 papers)- Visualization (6 papers)- Web Services (3 papers)The programme committee consisted of 28 highly regarded academics from around the globe, including Australia, Brazil, Canada, Japan, New Zealand, Singapore and USA. All papers were sent to at least three programme committee members for review and every effort was made to obtain at least three reviews. Of the 47 papers submitted, 16 were selected for presentation at the conference.The programme committee invited Professor Joxan Jaffar, to give a keynote on Constraint Logic Programming for Program Analysis. Professor Jaffar has recently completed a stint as Dean of the School of Computing from 2001-2007 at the National University of Singapore. His interests are in programming languages and applications, with emphasis on the logic and constraint programming paradigms. Amongst his main contributions are the principles of constraint logic programming, and the widely-used CLP(R) system. The committee also invited Dr Benjamin Burton and Associate Professor Ewan Tempero to give invited talks. Dr Burtons talk was entitled Informatics Olympiads:Challenges in Programming and Algorithm Design. Associate Professor Temperos talk is entitled On Measuring Java Software.",,,2008,,,"Wollongong, Australia",
Predicting the Habitat for Alien Species Based on GIS,"Invasive organisms have broken the ecosystems around the world, and the economic losses are huge. It is vital to actively respond to the invasion of harmful organisms and protect the ecological environment in which we live. Predicting the habitats for alien species by using species distribution model is the most economical and effective preventive measure to prevent invasive species' occurrence and harm. By the prediction model of the biological climate similar model, namely, using the climatological data and the biological parameters of the origin of invasive species predicts global habitat so as to determine the scope of the invasion of alien species. In this study, the application Software for predicting the habitat for alien species were developed using C# (programming language) and GIS' secondary developing module---ArcGIS Engine. The experimental results have been verified, AUC value is 0.91.The case study of Pterygoplichthy spardalis, according to Pterygoplichthys pardalis'biological parameters and climatological data of the origin in South America, predicts the globally suitable areas. The research has shown that in addition to the origin of South America, North America countries such as Guatemala, Central African countries such as Gabon, Congo, the southern part of India, Thailand and Burma, Midwestern Indonesia, south Asian countries such as Malaysia and the Philippines are the high incidence area of the Pterygoplichthys pardalis' invasion. It provides the scientific basis for quarantine department of animals and plants in a timely manner to take corresponding measures to control the further spread of the Pterygoplichthys pardalis.",,"Yao, Xiao and Wei, Bo and Wei, Hui",2019,10.1145/3339363.3339364,https://doi-org.proxy.bnl.lu/10.1145/3339363.3339364,"Xi'an, China",
Who is Bogus? Using One-Sided Labels to Identify Fraudulent Firms from Tax Returns,"We applya classifier to the value added tax (VAT) returns from Delhi (India) to increase tax compliance by identifying ""bogus"" (shell) firms which can be further targeted for physical inspections. We face a nonstandard applied machine learning scenario. First, onesided labels: firms that are not caught as bogus are of unknown class: bogus or legitimate, and we need to not only use them to train the classifier but also make predictions on them. Second, multiple time-periods: each firm files several periodic VAT returns but its class is fixed so prediction needs to be made at the firm, not firm-period, level. Third, point in time simulation: we estimate the revenue saving potential of our model by simulating the implementation of our system in the past. We do this by rolling back the data to the state of knowledge at a specific time and calculating the revenue impact of acting on our model's recommendations and catching the bogus firms, and estimate US$40 million in recovered revenue.",,"Mittal, Shekhar and Reich, Ofir and Mahajan, Aprajit",2018,10.1145/3209811.3209824,https://doi-org.proxy.bnl.lu/10.1145/3209811.3209824,"Menlo Park and San Jose, CA, USA",
ISEC '17: Proceedings of the 10th Innovations in Software Engineering Conference,"The Innovations in Software Engineering Conference (ISEC, formerly India Software Engineering Conference) is the annual conference of iSOFT, the India chapter of ACM SIGSOFT (http://isoft.acm.org.proxy.bnl.lu) under the umbrella of ACM India. The 10th ISEC (ISEC 2017 - http://www.isec2017.in/) is held at the LNMIIT Jaipur, India. ISEC brings together researchers and practitioners from India and across the world to share the results of their work. The goal of the conference is to provide a forum for researchers and practitioners from both academia and industry to meet and share cutting-edge advancements in the field of software engineering. To this end, ISEC 2017 offers an exciting program. ISEC 2017 received 81 (after 3 desk-rejects) paper submission from 11 different countries including India. The acceptance rate for research track is 28\% (16/57), industry track is 39\% (7/18) and mobile software engineering track is 33\% (2/6). Overall acceptance rate of ISEC 2017 is 30\% (25/81). A total of 25 papers will be presented at ISEC 2017. ISEC 2017 proceedings are published in ACM Digital Library.",,,2017,,,"Jaipur, India",
Protibadi: A Platform for Fighting Sexual Harassment in Urban Bangladesh,"Public sexual harassment has emerged as a large and growing concern in urban Bangladesh, with deep and damaging implications for gender security, justice, and rights of public participation. In this paper we describe an integrated program of ethnographic and design work meant to understand and address such problems. For one year we conducted surveys, interviews, and focus groups around sexual harassment with women at three different universities in Dhaka. Based on this input, we developed ""Protibadi"", a web and mobile phone based application designed to report, map, and share women's stories around sexual harassment in public places. In August 2013 the system launched, user studies were conducted, and public responses were monitored to gauge reactions, strengths, and limits of the system. This paper describes the findings of our ethnographic and design-based work, and suggests lessons relevant to other HCI efforts to understand and design around difficult and culturally sensitive problems.",,"Ahmed, Syed Ishtiaque and Jackson, Steven J. and Ahmed, Nova and Ferdous, Hasan Shahid and Rifat, Md. Rashidujjaman and Rizvi, A.S.M and Ahmed, Shamir and Mansur, Rifat Sabbir",2014,10.1145/2556288.2557376,https://doi-org.proxy.bnl.lu/10.1145/2556288.2557376,"Toronto, Ontario, Canada",
Women in Rural Bangladesh: Empowered by Access to Mobile Phones,"Mobile phones are seen as a means for social and economic progress in rural and remote areas of developing countries. In Bangladesh the availability and use of information and communication technology (ICT), particularly mobile phones, is thought to have accelerated the development of women in the rural population by creating the possibility of a wider connection. Using qualitative and quantitative methods for data collection, this research has investigated the impact of mobile phone use by women with particular emphasis on opportunities in health, education and livelihood. A sample of 99 women from three rural villages in Bangladesh showed that mobile phones provide easy access to health related services. Although impact on facilitating girls' education appears to be limited, mobile phones have an indirect effect in ensuring security for girls. Respondents confirmed that their overall living standards have improved due to access to information on economic and income earning opportunities. These rural women also feel independent and empowered by access to a mobile phone. It can be argued that mobile phone technology can facilitate improvements in the living standards of rural women, which contribute to their personal development. Finally, the paper suggests that wide and innovative utilization of ICT is needed to accelerate development of women in the rural population with the help of low-cost mobile phone technology.",,"Islam, Mohd Kamrul and Slack, Frances",2016,10.1145/2910019.2910074,https://doi-org.proxy.bnl.lu/10.1145/2910019.2910074,"Montevideo, Uruguay",
