Document Title,Abstract,Chosen,Authors,Author Affiliations,Publication Year,Page,DOI,Link,Content type
"Innovations and Interdisciplinary Solutions for Underserved Areas: Second International Conference, InterSol 2018, Kigali, Rwanda, March 2425, 2018","This book constitutes the refereed post-conference proceedings of the Second International Conference on Innovations and Interdisciplinary Solutions for Underserved Areas, InterSol 2018, and the 7th Collogue National sur la Recherche en Informatique et ses Applications, CNRIA 2018, held in Kigali, Rwanda, in March 2018. The 23 papers presented were selected from 56 submissions and issue the following themes: papers dealing with the evolution of performances of solar systems in Africa, papers addressing the issues is public health, telecom papers studying the business model of telecommunication, math models presenting the climatic phenomenon and finally health papers dealing with medical devices that are suitable to underserved areas. The proceedings also contain 7 papers from the co-located 7th CNRIA (Collogue National sur la Recherche en Informatique et ses Applications) focusing on network architecture and security, software engineering, data management, and signal processing.",,"Kebe CM,Gueye A,Ndiaye A,Garba A",,2018,,,,Book
Choosing Small Sets of Policy-Relevant Scenarios by Combining Vulnerability and Diversity Approaches,"Computer simulation models can generate large numbers of scenarios, far more than can be effectively utilized in most decision support applications. How can one best select a small number of scenarios to consider? One approach calls for choosing scenarios that illuminate vulnerabilities of proposed policies. Another calls for choosing scenarios that span a diverse range of futures. This paper joins these two approaches for the first time, proposing an optimization-based method for choosing a small number of relevant scenarios that combine both vulnerability and diversity. The paper applies the method to a real case involving climate resilient infrastructure for three African river basins (Volta, Orange and Zambezi). Introducing selection criteria in a stepwise manner helps examine how different criteria influence the choice of scenarios. The results suggest that combining vulnerability- and diversity-based criteria can provide a systematic and transparent method for scenario selection. Describes an optimization-based method for choosing a small number of scenarios.A combination of criteria related to vulnerability and diversity is used.The method is applied to a real case involving climate resilient infrastructure.",,"Carlsen H,Lempert R,Wikman-Svahn P,Schweizer V",,2016,155–164,10.1016/j.envsoft.2016.06.011,https://doi-org.proxy.bnl.lu/10.1016/j.envsoft.2016.06.011;http://dx.doi.org/10.1016/j.envsoft.2016.06.011,Journal Article
MobiCom '13: Proceedings of the 19th Annual International Conference on Mobile Computing & Networking,"Welcome to ACM MobiCom 2013, the 19th Annual International Conference on Mobile Computing and Networking. Over the years, MobiCom has established itself as a premier forum for publishing and presenting cutting-edge research in mobile systems and wireless networks, and this year's final program continues this wonderful tradition.The high quality and success of MobiCom can be credited to two groups. First and foremost is the authors of all of the submitted papers who submitted their very best research ideas and results. The 28 accepted papers represent leading-edge, and sometimes bleeding-edge, advances in a large variety of important mobile computing topics -- from traditional yet still very important topics, such as improving the efficiency of cellular and Wi-Fi networks, to topics focusing on the use of new wireless technologies in new mobile environments, such as enabling gesture recognition, managing indoor white space networks, and deploying performance improving femto cells. However, the hidden strength of MobiCom comes from the hard work of a very dedicated program committee, which consisted of 41 members from academia, government and industry spread across 7 different countries with expertise in many areas relevant to wireless networking and mobile computing.As Program Committee (PC) chairs, it was our task to keep MobiCom fresh and grow it to keep up with all the new challenges of the wireless and mobile community. This year, we introduced several new initiatives to further enhance the reach and quality of the conference. To increase MobiCom's visibility in industry, we included five PC members from product teams of Cisco, Google, Qualcomm and Broadcom. To ensure the strength and breadth, but most importantly the vision, of the PC, one-sixth of the PC were new members who had previously not served on the MobiCom PC. This year's MobiCom also has an invited industry session, in which speakers from Broadcom, Alcatel-Lucent, Google, and Microsoft will present the latest results and research challenges from industry in an effort to bridge the gap between academic research and how it is, or maybe isn't, relevant to industry.This year's call for papers attracted 207 submissions from five continents: Asia, Europe, Africa, North America and South America. We used HotCRP for handling the paper submission and reviewing, which was done in three phases. In the first phase, each paper was reviewed by at least three PC members, and the top 98 papers were selected for the next round. In the second phase, each paper was reviewed by at least two more PC members. In some cases when the paper was at the intersection of new topics, such as RADAR or robotics, additional expert opinions were solicited. The final phase was the PC meeting held on May 30th and 31st in Redmond, WA. A total of 34 members attended the PC meeting in-person, while 5 members attended the meeting on Skype. Over one and a half days, the PC extensively discussed the merits and flaws of the 60 toprated papers and ultimately accepted 28 papers for final publication in the conferences' proceedings. Across the three phases, each PC member reviewed about 25 papers, such that most round two papers had an average of 6 reviews (a high number for any top-tier conference). To ensure fairness and preserve the anonymity of all authors and reviewers, papers authored by PC chairs were mixed with a random selection of other papers and handled out-of-band by Alex Snoeren, who was the PC co-chair for MobiCom 2012.",,,,2013,,,,Book
Social Dimensions of Information and Communication Technology Policy: Proceedings of the Eighth International Conference on Human Choice and Computers ... Federation for Information Processing),"This book constitutes the refereed proceedings of the 8th International Conference on Human Choice and Computers (HCC8), IFIP TC9, held in Pretoria, South Africa on September 25-26, 2008. The IFIP series publishes state-of-the-art results in the sciences and technologies of information and communication. The scope of the series includes: foundations of computer science; software theory and practice; education; computer applications in technology; communication systems; systems modeling and optimization; information systems; computers and society; computer systems technology; security and protection in information processing systems; artificial intelligence; and human-computer interaction. Proceedings and post-proceedings of refereed international conferences in computer science and interdisciplinary fields are featured. These results often precede journal publication and represent the most current research. The principal aim of the IFIP series is to encourage education and the dissemination and exchange of information about all aspects of computing.",,"Avgerou C,Smith ML,van den Besselaar P",,2008,,,,Book
Baby Boomers’ Intention to Use Branch or Digital Banking Channels in South Africa: An Exploratory Study,"With Baby Boomers comprising a significant and profitable segment of the South African population, understanding the banking behaviour of seniors becomes an important task for banking institutions. With minimal literature dedicated to the banking behaviour of seniors, this study aimed to outline aspects which influenced Boomer's intention to use branch or digital channels and identify reasons for this. Literature highlighted the significant role of behavioural beliefs, trust, normative beliefs, perceived usefulness, perceived secureness and perceived control in banking intention, with gender, computer literacy, banking institution and banking channel used, being the major differences when choosing to walk into a branch or bank electronically. By applying the Kruskal-Wallis test on data collected from 281 Boomers across Gauteng, it was found that the gender of Boomers did not have any differences across branch and digital channels. By applying banking channel split, differences were found among the branch, digital and both channel groups for all six variables for both branch and DB intention. Reasons for these differences were also outlined within. Based on these findings, recommendations for the banking institutions of SA have been provided. Suggestions on future research initiatives are included, with linking banking intention to banking behaviour and conducting comparisons to other generational groups being notable topics.",,"Ramlall S,Hattingh M,Van Deventer P",,2020,74–84,10.1145/3410886.3410915,https://doi-org.proxy.bnl.lu/10.1145/3410886.3410915;http://dx.doi.org/10.1145/3410886.3410915,Conference Paper
"Running, Sweating, and Persistence Hunting [Numbers Don't Lie]","During the two years of its monthly appearance, this column has looked at many objects–cars, turbines, airplanes, windows, mobile phones, and nuclear reactors–made by humans. Todayźs focus is on the human body, specifically the way it keeps itself cool. Before the development of long-range projectile weaponry some tens of thousands of years ago, in Africa, our ancestors had only two ways to secure meat: by scavenging the leftovers of mightier beasts or by running down their own prey. Humans were able to occupy the second of those ecological niches thanks, in part, to two great advantages of bipedalism.",,Smil V,,2016,26,10.1109/MSPEC.2016.7607022,https://doi-org.proxy.bnl.lu/10.1109/MSPEC.2016.7607022;http://dx.doi.org/10.1109/MSPEC.2016.7607022,Journal Article
Speculative Vulnerability: Uncovering the Temporalities of Vulnerability in People's Experiences of the Pandemic,"Pandemic-tracking apps may form a future infrastructure for public health surveillance. Yet, there has been relatively little exploration of the potential societal implications of such an infrastructure. In semi-structured interviews with 23 participants from India, the Middle East and North Africa (MENA), and the United States, we discussed attitudes and preferences regarding the deployment of apps that support contact tracing to contain the spread of COVID-19. Through interpretive analysis, we examined the relationship between persistent discomfort and vulnerability when using such apps. Such an examination yielded three temporal forms of vulnerability: real, anticipatory, and speculative. By identifying and defining the temporalities of vulnerability through an analysis of people's pandemic-related thoughts and experiences, we develop the overlapping discourses of humanistic infrastructure studies and infrastructural speculation. In doing so, we explore the concept of vulnerability itself and present implications for the study of vulnerability in Human-Computer Interaction (HCI) and for the oversight of app-based public health surveillance.",,"Seberger JS,Obi I,Loukil M,Liao W,Wild DJ,Patil S",,2022,,10.1145/3555586,https://doi-org.proxy.bnl.lu/10.1145/3555586;http://dx.doi.org/10.1145/3555586,Journal Article
Domain Enriched Learning for Brain Image Analysis,"Medical imaging techniques such as magnetic resonance imaging (MRI), computed-tomography (CT), X-ray, ultra-sound, positron emission tomography (PET), and mammography have been widely used over the past few decades for diagnosis and treatment of many medical conditions. Often, medical image interpretation is performed by human experts such as neurosurgeons, pathologists, and radiologists. Given the complex nature of these pathological images and the burden on human experts, it is desired to at least partially automate medical image interpretation using computer-aided methods. With recent advance in machine learning techniques, the goal of achieving automated medical image analysis is now practically realizable. In this dissertation we address two important and challenging medical imaging problems: 1) Brain image super-resolution (SR) and 2) Brain image segmentation. Finally, we combine the frameworks of enhancement and segmentation to pave a way for cost-effective diagnosis of infant-hydrocephalic patients. The first part of the thesis addresses the issue of enhancing the resolution of MR brain images via deep learning techniques. High resolution Magnetic Resonance (MR) images are desired for accurate diagnostics. In practice, image resolution is restricted by factors like hardware and processing constraints. Recently, deep learning methods have been shown to produce compelling state-of-the-art results for image enhancement/super-resolution. Paying particular attention to desired hi-resolution MR image structure, we propose a new regularized network that exploits image priors, namely a low-rank structure and a sharpness prior to enhance deep MR image super-resolution (SR). Our contributions are then incorporating these priors in an analytically tractable fashion as well as towards a novel prior guided network architecture that accomplishes the super-resolution task. This is particularly challenging for the low rank prior since the rank is not a differentiable function of the image matrix (and hence the network parameters), an issue we address by pursuing differentiable approximations of the rank. Sharpness is emphasized by the variance of the Laplacian which we show can be implemented by a fixed feedback layer at the output of the network. As a key extension, we modify the fixed feedback (Laplacian) layer by learning a new set of training data driven filters that are optimized for enhanced sharpness. Experiments performed on publicly available MR brain image databases and comparisons against existing state-of-the-art methods show that the proposed prior guided network offers significant practical gains in terms of improved SNR/image quality measures. Because our priors are on output images, the proposed method is versatile and can be combined with a wide variety of existing network architectures to further enhance their performance.The second part of the thesis leverages the discriminative power of sparse signal representation to segment post-operative CT hydrocephalic images. Hydrocephalus is a medical condition in which there is an abnormal accumulation of cerebrospinal fluid (CSF) in the brain. Segmentation of brain imagery into brain tissue and CSF (before and after surgery, i.e. pre-op vs. post-op) plays a crucial role in evaluating surgical treatment. Segmentation of pre-op images is often a relatively straightforward problem and has been well researched. However, segmenting post-operative (post-op) computational tomographic (CT)-scans become more challenging due to distorted anatomy and subdural hematoma collections pressing on the brain. Most intensity and feature based segmentation methods fail to separate subdurals from brain and CSF as subdural geometry varies greatly across different patients and their intensity vary with time. We combat this problem by a learning approach that treats segmentation as supervised classification at the pixel level, i.e. a training set of CT scans with labeled pixel identities is employed. Our contributions include: 1) a dictionary learning framework that learns class (segment) specific dictionaries that can efficiently represent test samples from the same class while poorly represent corresponding samples from other classes, 2) quantification of associated computation and memory footprint, and 3.) a customized training and test procedure for segmenting post-op hydrocephalic CT images. Experiments performed on infant CT brain images acquired from the CURE Children's Hospital of Uganda reveal the success of our method against the state-of-the-art alternatives. We also demonstrate that the proposed algorithm is computationally less burdensome and exhibits a graceful degradation against number of training samples, enhancing its deployment potential.In the final contribution of the thesis, deep-learning frameworks for simultaneous enhancement and segmentation are developed for infant hydrocephalic patients. Post-infectious Hydrocephalus in infants is a major health problem in majority of the sub-Saharan African countries. As described above, segmentation of the affected brain imagery into brain tissue and cerebrospinal fluid (CSF) plays a crucial role in evaluating the surgical treatment. Owing to cost constraints, often computational tomographic (CT) scans are used for analysis and treatment purposes. However, exposing infants to radiation for a longer time is not recommended. To counter these challenges, deployment of low-field Magnetic Resonance (MR) devices is considered as an viable option in the developing nations. However, the scans obtained from these devices often result in poor quality images which are difficult to interpret and hence may lead to inaccurate volumetric analysis. Recently, deep learning frameworks have pushed the boundaries for several image enhancement and segmentation applications. In this work, we propose a deep learning framework that jointly enhances and segments the brain images and extends the range of biological phenomena observed by low field MR image devices. We demonstrate the capability of our proposed framework on our own database of infant hydrocephalic patients and on normal brain images obtained from National Institute of Health (NIH) data base. The results obtained on extremely noisy and un-interpretable images are so revealing that developing a reliable low- field MR imaging is now made a realistic possibility. The thesis is then concluded by pointing towards appropriate future directions wherein domain-enrichment for brain image analysis can be achieved via other sophisticated deep networks that learn important structural properties of the brain.",,"Cherukuri V,Vijaykrishnan Narayanan",,2020,,,,Ph.D. Thesis
Mastering MySQL 4,"From the Publisher:MySQL is the leading open-source database platform, and its popularity has grown with the widespread adoption of PHP for interactive web applications. With version 4, MySQL has added many new features and shown itself to be ready for widespread use. Ideal for both administrators and developers and suited to SQL beginners and veterans alike, Mastering MySQL 4 delivers a comprehensive guide to this new version as well as to database design and normalization -- functions often ignored in database development. You'll learn how to configure and optimize MySQL for high-volume usage and get the most out of its transactional and nontransactional table types. You'll also discover how to perform such standard database tasks as backup, maintenance, and replication plus manage security issues and program with MySQL (references are included for most popular programming languages, including PHP, Perl, Java, Python and C/C++). Ian Gilfillan is lead developer for South Africa's premier news portal, has developed and taught web and database programming courses, and has written technical articles on MySQL.",,Gilfillan I,,2002,,,,Book
System Architecture for Delay Tolerant Media Distribution for Rural South Africa,"Wireless communication offers access to information even to users living in areas where little to no access to affordable communication channels is available. Delay Tolerant Networks (DTNs) enable content distribution in such areas, using mobility of devices and avoiding the need for traditional network infrastructure. In DTNs, data is passed from mobile device to mobile device, whenever possible, in an intelligent way. DTNs have the potential to reach out to under-served regions where cellular Internet access (3G, LTE, and beyond) might be expensive or unavailable. We are interested in DTNs for distributing media from cities to under-served rural areas. The content is distributed to the target destinations, using either public transportation or commuting vehicles such as taxis, equipped with wireless DTN-enabled devices. At each target destination, a micro-entrepreneur business is established with the help of our network: Micro-entrepreneurs use DTN-enabled projectors (also referred to as cinemas-in-a-backpack) to deliver entertainment content at low cost, and exploit the opportunity to create a micro-business around the show events. In this paper, we introduce the DTN system setup, present performance results of laboratory tests and test with a local commuter train of periodic and predictable mobility. Further, we present the target scenario and specific technical challenges. We aim to explore opportunities for a rural, under-served region in the north of Pretoria, South Africa.",,"Galati A,Bourchas T,Siby S,Mangold S",,2014,65–72,10.1145/2643230.2643239,https://doi-org.proxy.bnl.lu/10.1145/2643230.2643239;http://dx.doi.org/10.1145/2643230.2643239,Conference Paper
Modelling Mixed Crop-Livestock Farms for Supporting Farmers’ Strategic Reflections: The CLIFS Approach,,,"Le Gal PY,Andrieu N,Bruelle G,Dugué P,Monteil C,Moulin CH,Penot E,Ryschawy J",,2022,,10.1016/j.compag.2021.106570,https://doi-org.proxy.bnl.lu/10.1016/j.compag.2021.106570;http://dx.doi.org/10.1016/j.compag.2021.106570,Journal Article
A Context-Aware Multi-Channel Messaging Framework for African Banks: Design and Implementation,"Customers of Financial Service Institutions (FSIs) subscribe to different types of alerts occurring on their accounts. The Single Channel Messaging (SCM) model is predominantly used by most Banks in Africa. However, the number of supported platforms and messaging formats limits the SCM Model and in the case where FSIs make use of multiple channels, these are not integrated. In addition, SCM does not provide a way of distinguishing between communication channels based on urgency or priority of the messages which need to be delivered to the customers. Consequently, this research work investigated and reviewed the existing approaches, publicly available platforms, web and mobile applications used by FSIs for interacting with their clients. Based on this, we derived the technical requirements for the implementation of a model for Multi-Channel Messaging (MCM) that addresses the weaknesses of SCM. Further, in this paper we present the proposed framework for the MCM model. The model was implemented using the problem-centred approach of the Design Science Research Methodology to derive the requirements of the MCM system from the SCM system, we further used Use-Case evaluation method to analyse the outcome of the design.",,"Salami O,Mtsweni J",,2019,224–230,10.1145/3305160.3305162,https://doi-org.proxy.bnl.lu/10.1145/3305160.3305162;http://dx.doi.org/10.1145/3305160.3305162,Conference Paper
EuroSys '11: Proceedings of the Sixth Conference on Computer Systems,"It is our great pleasure to present the proceedings of the 6th ACM EuroSys Conference on Computer Systems -- EuroSys 2011. We are confident that this year's conference continues to grow the reputation and influence of EuroSys with a set of excellent papers. These cover a wide range of topics, from real-world configuration management and debugging to hardware reliability, from mobile devices to clouds, from fault tolerance to energy management.This year's call for papers attracted a record number of 161 submissions, of which 78 came from North America, 49 from Europe, 25 from Asia, two each from South America and Australia, and one each from Central America and Africa. Seven papers were rejected for violating formatting requirements, which left 154 papers to be reviewed by the PC in two rounds with limited help from outside experts. In a first round of reviewing, each paper received a minimum of three reviews, leading to the elimination of 86 papers. Their authors were notified immediately, to maximise their opportunity to improve the paper for a possible re-submission to another conference.The remaining 68 papers each received a minimum of three further reviews in the second round, after which reviews were sent to authors for rebuttal. For the vast majority of papers the reviews were quite consistent, reflecting the quality and commitment of the PC members. In a few cases where there was significant disagreement between reviews, further reviews were obtained before the PC meeting. The vast majority of reviews were written by the PC members themselves.The rebuttal process was a first for EuroSys, and in a number of cases helped to provide valuable clarifications (including one case where a paper's strongest supporter downgraded their score after reading the rebuttal). A second novelty was the move to double-blind reviewing, where PC members did not know the authors of the papers they reviewed and discussed. Authors' identities were only revealed at the end of the PC meeting. There was strong consensus that this had worked well, that in the vast majority of cases PC members really did not know the origin of a paper and that this helped the PC to minimise bias.At the meeting, the PC applied very high quality standards, and in the end selected 24 papers. A particularly rigorous standard was applied to papers authored by PC members, and only two of nine such papers were accepted. Given the high standard applied, it is particularly pleasing that ten European papers were accepted, giving Europe the highest acceptance rate of all geographic regions.EuroSys 2011 takes place in Salzburg, Austria. The conference begins on April 10 with a day dedicated to workshops and tutorials held at the Faculty of Law of the University of Salzburg. In total, eight workshops and two tutorials have been selected to provide a forum for the latest research in multicore, cloud computing, embedded, security, and social network systems. The main conference is held on April 11-13 at the newly renovated Aula of the University of Salzburg across the street of the world-famous Festspielhaus.We hope that you will find these proceedings interesting and thought provoking, and that those who attend the conference and its associated workshops and tutorials will find this a stimulating experience.",,,,2011,,,,Book
Editorial Message: Special Track on Web and E-Business Applications,"The World WideWeb has become the standard computing platform for the development of new-generation information systems. A new tide of Web-based e-business applications (such as corporate portals, network-based supply chains and market places, etc.) is driving the need for a more open, flexible and distributed infrastructure, together with appropriate development methodologies and theoretical settings. Today's web applications involve skills from many different areas of computer science, including databases, AI and agent based applications, programming languages and algorithms, distributed computing, information retrieval, semantic modeling, etc. For this reason we proposed a track on Web and E-business applications based on the following main topics: data models for the World Wide Web, Web data management, languages for the World Wide Web and XML, E- business and Web services, transactions on the World Wide Web, security and integrity issues for the WWW, query systems for the World Wide Web, management and storage of Web information, information retrieval and search engines for the Web, Web semantics, data integration over the World Wide Web, data-intensive applications on the World Wide Web, Web architectures.We received 30 submissions, which were extensively reviewed for originality, significance, technical soundness and clarity of presentation. The submitted papers covered most of the proposed topics. The number of submissions distributed on each continent has been the following: 16 from Europe (53%), 9 from North America (30%), 3 from Asia (10%), 1 from Africa (3%) and 1 from Australia (3%). 12 papers corresponding to the 40% of the submitted papers have been selected for presentation at the conference, with the following distribution: 7 from Europe, 3 from America, 1 from Asia and 1 from Australia.",,"Comai S,Tanca L",,2002,1086–1087,10.1145/508791.509005,https://doi-org.proxy.bnl.lu/10.1145/508791.509005;http://dx.doi.org/10.1145/508791.509005,Conference Paper
"Computational Models and Tools for Analysis, Prediction, and Control of Infectious Diseases","Infectious disease modeling is used to examine pathogen transmission retrospectively and forecast outbreaks preemptively. Model results help public health authorities to optimize disease control measures, preventing catastrophic loss of lives in humans and animals. Yet, several fundamental challenges arise in infectious disease modeling. A critical problem involves modeling new and evolving pathogens for realistic simulations and reliable predictions of outcomes. Another concern is the lack of data related to infectious diseases. Epidemic modelers often face data inadequacy with host networks and disease incidence. This dissertation proposes remedies to challenges associated with infectious disease modeling, outbreak prediction, and host movement data.In response to vector-borne disease modeling challenges, this dissertation first takes a mechanistic approach. To realistically model the infection process, a novel interconnected network model is designed for the mosquito-vectored Zika virus, which links homogeneous vector populations with heterogeneous human contact networks. The model incorporates seasonal variations in mosquito abundance and characterizes hosts based on age group and gender. The aim is to develop a detailed model for an accurate representation of pathogen dynamics while keeping it computationally tractable. An event-based simulation tool is developed based on the non-Markovian Gillespie algorithm. This work investigates effects of seasonal variations on outbreak size, the role of sexual transmission in sustaining the pathogen, and relative contributions of key model parameters using a sensitivity analysis.A framework to improve machine learning performance for predicting dengue fever cases is developed in a data-driven approach. The goal is to fill in temporally limited human case data from spatially adjacent populations. The method ranks and sorts time-series data from peripheral locations around a target location as predictor variables commonly referred to as features. Metrics are computed from windowed time-shifted cross-correlation of incidence data, spatial distance, and historical prevalence to rank feature variables. A window detection method presented in this work analyzes incidence data to identify time intervals with significant outbreaks. The framework achieves improved prediction performance and works well with recurrent neural network (RNN) architectures. Performance gains are compared using different time window allocation methods for three distinct prediction models: linear, long short-term memory (LSTM), and gated recurrent units (GRU).Availability of data also affects applicability of mechanistic models. In the United States, farm animal movements are not tracked by a central authority. Lack of animal movement data is a significant obstacle in using network models to analyze infectious outbreaks in meat-producing industries. As an immediate solution, a novel method is presented to generate movement networks from limited data available in the public domain. A custom configuration model is developed for network generation that uses aggregate data from farm animal movement-related surveys and the U.S. agricultural census. A hypothetical spread of the African swine fever virus (ASFV) is simulated in a generated network to analyze how network structure affects pathogen dispersal. A node centrality-based analysis is performed to identify important farm operation types and evaluate how targeted control measures affect outbreaks.The experience of working with infectious disease models for the U.S. meat-producing industry revealed fundamental problems linked to trust and business data sharing. The U.S. beef cattle industry lacks adequate traceability, as most farm owners consider such data confidential, possibly harming their businesses if exposed. Blockchains, also known as distributed ledgers, have gained popularity in industrial supply chains because of their unique features of data immutability and transparency. A smart contract-based supply chain framework is designed using a private blockchain network. This system supports anonymity for users to protect their identities and lets everyone store data locally while ensuring the blockchain records any change in data with cryptographic proofs. The framework presented contains functionalities to perform business transactions, transfer animal data, conduct anonymous surveys, and trace animals.This work has original contributions in network epidemic models, data-driven prediction tools, network generation algorithms, and data management frameworks. It combines knowledge from social network analysis, graph theory, epidemiology, machine learning, statistics, cryptography, computer networks, and computational science to improve infectious disease modeling, analysis, and control. The knowledge gained here is generalizable to applications beyond specific cases presented in this dissertation.",,"Ferdousi T,Lee Cohnstaedt,Don Gruenbacher,David Amrine",,2021,,,,Ph.D. Thesis
Eukasimbiosys: A Stochastic Discrete Event-Based Simulation Software for in-Silico Study of Insulin Signaling and Metabolism in Cardiac Myocytes,"In this dissertation we first elucidate how the Stochastic Discrete Event Simulation (SDES) could be applied in capturing the behavior of biological processes as sets of biological events (bioevents) with random holding times . Then we introduce the architecture of ‘ eukaSimBioSys ’ which is designed for system-wide simulation of a eukaryotic cell. The model repository is one of the essential components of our proposed architecture, which comprises reusable modules of parametric models. Each of these parametric models once coupled with a proper parameter set is then applied to capture the holding time of a specific bioevent. These models are physicochemical models that attempt to abstract bimolecular interactions (i.e. modifications, associations, translocations, localizations, etc.) into a parametric probability distribution function of time. Typical interactions include: reaction, receptor-ligand binding, protein-protein binding, chromatin remodeling, transcription, translation, splicing, etc. The previous researchers have already started building this model library and in this work we add four new models (i) ligand-receptor binding, (ii) DNA fluctuations, (ii) chromatin remodeling, and (iii) splicing. For the first one we have developed both the eukaryotic and prokaryotic variants of the model, where as the rest are specific to eukaryotes. These models have been validated with the published experimental data where empirical results were available. Cell activity is the product of an intricate interaction among three main cellular networks: Signal Transduction Network (STN), Transcription Regulatory Network (TRN), and Metabolic Network (MTN). Each cellular function composed of one or more edges within or across these networks. Hence, system-wide study of a cell requires clear and explicit definition of these networks. We have incorporated the semantic of these networks in ‘ eukaSimBioSys ’ by designing an object-oriented database to hold the layout of these three networks along with their inter-relationships. We have populated these databases for ‘ human BCell ’ and ‘ human cardiac myocyte ’ from data available in literature and other databases. Despite the advances in health science, and discovery of new drugs, still heart disease is the most life threatening disease in both industrial and developing countries. Cardiac myocytes are the main players of the perpetual heart contraction function and are among the most energy consuming tissues in the body. Any changes in their normal metabolism can lead to severe consequences for an individual. Glucose and fatty acids comprise the major sources of energy for the myocardial cells, the interplay between these two sources is predominantly controlled by insulin. As the ultimate goal of this dissertation we have incorporated all the models developed in this dissertation and elsewhere into ‘ eukaSimBioSys ’ and utilized that to conduct unique in-silico experiments for studying the effects of insulin on metabolism of heart muscles. We exploit the features and capacities of our software by conducting six in-silico experiments where we proved its outstanding potentials in regenerating the experiential data and performing hypothesis testings by applying the experimental conditions in-silico. The biological facts that we validated in-silico briefly include: plasticity of cardiac myocytes, contributions of exogenous glucose and fatty acid in myocardial energetics, transcription regulation of insulin, and the effect of genetic null-mutations on metabolic pathways. One of the unique features of ‘ eukaSimBioSys ’ that was demonstrated throughout an in-silico experiment was the ability of the software to perform the system-wide simulation of myocardial cellular networks fora prolonged time (48 hours). To construct the SRN, TRN, and MTB for the experiment we incorporated the information from three major databases (i.e. KEGG, BiGG, HumanCyc) along with data from exhaustive literature searches. ‘ eukaSimBioSys ’ features variety of promising applications in the biology and health science. It could be applied to suggest the more promising experimental condition for the experimentalist or help investigating new pathways and regulatory mechanisms. Another very important application of this software is in rebuilding the disease scenarios such as hyperglycemia, diabetes, hypertension, ischemia, etc. In-silico investigation on the effects and side-effects of a new drug is another potential application of this emerging software. Note that utilizing ‘ eukaSimBioSys ’ for the above purposes might subject to certain case based enhancements to the current version of the software. (Abstract shortened by UMI.)",,Mazloom AR,,2008,,,,Ph.D. Thesis
Mobility Practices of the Urban Poor in Ahmedabad (India),"Urban poverty, a prominent issue in the rapidly urbanising developing world, consists of many interrelated aspects in poor people's lives. One such aspect is accessibility, which determines the crucial links between housing, labour markets and other amenities. Relatively little is known about how poor people negotiate the complexities of their daily lives in relation to their mobility choices with respect to existing transport systems, especially in Indian cities. This thesis argues that the poor should be viewed as 'disadvantaged citizen' rather than 'disadvantaged commuters' or 'vulnerable road users' as often described in the transportation studies in India and elsewhere. It is important to ask why the poor make certain mobility-related choices and how these choices shape their own efforts to deal with poverty. This thesis develops a conceptual model linking poverty and mobility debates by employing social practice theory for understanding and structuring mobility related practices of the poor. Further, the conceptual model is pitched in the larger international debates of informality, poverty alleviation and sustainable mobility. To situate the mobility practices of the poor, Ahmedabad is selected as a case-study which represents the dynamics of poverty, informality and intraurban relocation and displacement coupled with some innovative urban projects which, at least in terms of rhetoric, are engaged in developing more sustainable mobility and with poverty alleviation. This study adopts an inductive research strategy based around 'building theory' where the focus is on understanding the poor's own efforts to deal with their mobility and poverty. A mixed methods approach is followed involving qualitative narratives of individuals and a quantitative household survey, supported by secondary documentary analysis. This thesis extensively uses the qualitative narratives of the poor to build empirical knowledge about the differential sub-groups within the poor and to understand the dynamics of poverty in their mobility related decision-making. A range of social practices was identified by the research, which have developed around the low affordability of transport. The poor people are largely dependent on the human-powered transport modes like cycling and walking. The poor are found to seek shelter-livelihood-mobility balance variably across their locations, and differing based on their livelihoods and other social categories like gender. The prevailing informality in housing or job markets is often helpful for poor households to not only minimise transport but to also move out of poverty over a period of time, at least, in some cases. However, the current mobility practices of the poor based on walking, cycling and use of shared or public transport, in spite of their low energy consumption, are being marginalised in the official urban and transport planning in Ahmedabad. The poor face an intrinsic paradox in their mobility to access the various facets of the city; on one side, they resist motorised trips due to low-affordability and on the other side, even if some of them want to travel longer distances to access better opportunities, they are constrained in the absence of an affordable and reliable transport service in the city. Finally, this thesis makes a case for more inclusive and integrated policies around shelter-security, livelihood protections and sustainable transport linked infrastructure provision for the poor people in the cities of India. It is crucial that improved articulation and understanding of the social dimensions of transport should attract greater research and policy attention in India in future years.",,Joshi R,,2014,,,,Ph.D. Thesis
Challenges and Solutions Implementing an SMS Text Message-Based Survey CASI and Adherence Reminders in an International Biomedical HIV PrEP Study (MTN 017),,,"Brown W,Giguere R,Sheinfil A,Ibitoye M,Balan I,Ho T,Brown B,Quispe L,Sukwicha W,Lama JR,Carballo-Diéguez A,Cranston RD",,2018,78–86,10.1016/j.jbi.2018.02.018,https://doi-org.proxy.bnl.lu/10.1016/j.jbi.2018.02.018;http://dx.doi.org/10.1016/j.jbi.2018.02.018,Journal Article
