"Document Title","Abstract","Chosen","Authors","Author Affiliations","Publication Year","Page","DOI","Link","Content type"
"A New Method for Pricing Interest-Rate Derivatives in Fixed Income Markets","We devised a method for pricing path dependent derivatives whose theory is new. It is based on a time and value discretization of the interest rate process, in conjunction with prices of Arrow-Debreu securities with unitary lifetime obtained via the Feymann-Kac formula. Such theoretical framework boils down immediately to allowing parallel computing, a quality that is not present in standard methods exploiting PDEs. It operates with a broad range of diffusions and quite general payoffs. Actually, the unique version of the method equally applies to stock and fixed income markets. An exercise is performed through pricing an Asian interest rate option. We purposely kept focus in the interest rate scenario since they are typically associated to the range of low volatilities where the existing numerical methods fail.","","Baczynski J,Otazú JB,Vicente JV","","2017","3057–3062","10.1109/CDC.2017.8264105","https://doi-org.proxy.bnl.lu/10.1109/CDC.2017.8264105;http://dx.doi.org/10.1109/CDC.2017.8264105","Conference Paper"
"A Proposal for Coalition Networking in Dynamic Operational Environments","At present, military communications within battlefields are very restricted, both by policy and due to technology limitations. In Southwest Asia today, there are needlessly long and complex communications paths, often involving multiple relays and use of constrained-bandwidth MILSATCOM back-haul outside the theatre, when nearby forces could communicate directly via existing interoperable radios. This is a current problem for NATO and Coalition forces. The current Internet Protocol suite lacks core support for mobility, scalable support for multi-homed nodes, and does not provide the capabilities needed for optimal communications in forward operating areas.We propose a coalition-based, multi-homed approach leveraging both local-area and wide-area connectivity, improving both the flexibility and robustness of communication, without conflicting with the security policy of sensitive communication. The Coalition Peering Domain (CPD), is a distributed, self-configuring architecture that supports the secure, collaborative networking relationships needed to provide this flexibility and robustness. The CPD facilitates the inter-connection of cooperating, but administratively separate, network segments. The CPD exploits multihomed and multi-path communication to better-utilise all available connectivity. The Identifier-Locator Network Protocol (ILNP) provides native support for improved scalability in multi-homing and mobility, while easing use of network layer security and allowing inter-operation across different administrative domains. Our approach is compatible with current work in Mobile Ad-Hoc Networking (MANET). ILNP has excellent compatibility with IPv6: existing IPv6 backbone networks do not require any modification to carry ILNP traffic natively. There are practical, realistic and deployable engineering solutions to realise the CPD and ILNP within the framework of IPv6.","","Atkinson R,Lad M,Bhatti S,Hailes S","","2006","788–795","","","Conference Paper"
"A Proposal of Metrics for Botnet Detection Based on Its Cooperative Behavior","In this paper, we propose three metrics for detecting botnets through analyzing their behavior. Our social infrastructure (i.e., the Internet) is currently experiencing the danger of bots' malicious activities as the scale of botnets increases. Although it is imperative to detect botnet to help protect computers from attacks, effective metrics for botnet detection have not been adequately researched. In this work we measure enormous amounts of traffic passing through the Asian Internet Interconnection Initiatives (AIII) infrastructure. To validate the effectiveness of our proposed metrics, we analyze measured traffic in three experiments. The experimental results reveal that our metrics are applicable for detecting botnets, but further research is needed to refine their performance.","","Akiyama M,Kawamoto T,Shimamura M,Yokoyama T,Kadobayashi Y,Yamaguchi S","","2007","82","10.1109/SAINT-W.2007.14","https://doi-org.proxy.bnl.lu/10.1109/SAINT-W.2007.14;http://dx.doi.org/10.1109/SAINT-W.2007.14","Conference Paper"
"A Simple Model to Assess the Sensitivity of Grassland Dairy Systems to Scenarios of Seasonal Biomass Production Variability","Highlights We model a dairy cattle farming system feeding almost exclusively on grass in France. A model was developed with some interactions with advisers and could be used by them. The model is used to understand sensitivity and adaptive capacities of the systems. The amount of forage bought was not only explained by the forage autonomy of farms. Farms with high forage autonomy can resist to repeated biomass growth variability. In recent decades, dairy herds of the peri-Mediterranean area have coped with high climatic variability, which has contributed to weakening their economic equilibrium. Survey studies highlighted that climatic impact depends on the strategies of farmers, related to forage autonomy. To explain this observation precisely and assess the opportunity of changing forage strategy as an adaptation to cope with climatic variability over the long term, a simulator was developed to explore the impact of several biomass production variability scenarios on forage purchases. This approach was applied on dairy cattle farms in a mountain area in the South of France (Ardèche), with forage systems based on grass (hay and pasture), using several levels of forage autonomy. A computer application was developed through a partnership project between our research team and officers of an extension board. We then validated the ability of the simulator to account for the operation of special cases of farms after calibration and studied the model sensitivity to key parameter variations. Then we explored (i) how the simulator can be used to assess the sensitivity of six dairy farms to biomass production variability and (ii) the value of an adaptation strategy with advance forage stockpiling. The sensitivity analysis highlights that the purchase of forage was highly sensitive to production variation during March, April and May. The farms which used grazing the most, exhibited a lower standard deviation than the other farms. Variation obtained for the standard deviation of forage bought was not only explained by the forage autonomy but might depend on other characteristics such as time of turnout and surface allocation. The succession of disadvantageous years was tested. The decrease in the stock differed according to the forage autonomy of farms. Whereas farms which were only just autonomous bought forage as of the first disadvantageous year, farms with forage autonomy of 120% can resist repeated biomass production variability for 8years with the constitution of remaining stocks of forage. The simulator developed here is simple enough both to explore the sensitivity of a dairy system and promote the debate on the results with farmers and advisers.","","Lurette A,Aubron C,Moulin CH","","2013","27–36","","","Journal Article"
"A Statistical Approach Towards Fraud Detection in the Horse Racing","With the inception of online betting in S. Korea, various foreigner professional gambling groups have exploited the betting regulations. This phenomenon has occurred mainly in Asia, because the regulations on gambling in these countries are complex and robust. Our study focuses on the horse racing in S. Korea, which is operated under the government funding. The foreigner gambling groups tried unlimited betting by modifying the official IoT (Internet of Things) based APP arbitrarily. We have checked that some abnormal transactions can occur by modifying this application. Our study proposes a fraud detection method that can help detecting abnormal activities and prevent them. Currently, the Korea Racing Authority (KRA) has been criticized for being ill-equipped to detect abnormal activities with the Walkerhill Incident. Our study presents a new anomaly detection model that uses a flexible window. In this study, we propose an idea that aims to detect abnormal betting transactions.","","Min M,Lee JJ,Park H,Shin H,Lee K","","2020","191–202","10.1007/978-3-030-65299-9_15","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-65299-9_15;http://dx.doi.org/10.1007/978-3-030-65299-9_15","Conference Paper"
"A Strategic Framework for a Secure Cyberspace in Developing Countries with Special Emphasis on the Risk of Cyber Warfare","The objective of this paper is to provide a strategic framework for a secure cyberspace in developing countries, taking cognisance of the realities and constraints within a developing milieu; and to discuss if the risk of cyber warfare and related techniques against developing countries should be addressed within 'The Framework'. Cybersecurity policies and related strategies are required for developing countries in order to effectively safeguard against cyber related threats the same as for developed countries. These policies and strategies for developing countries will differ from those of developed countries due to the unique realities within a developing world. Africa in specific is presently seen as a hotbed for cybercrime, and one of the reasons is that many African countries do not have a proper framework, policies and procedures to properly protect cyberspace. Experience has also shown that a pure adoption by developing countries of the cyber frameworks of developed nations will not always be effective, especially due to the unique requirements and realities within developing worlds, such as limited resources, infrastructure, technologies, skills and experience. It is also necessary when talking about a strategic framework to secure cyberspace, to discuss cyber warfare, its general application and its possible utilisation as part of the strategy to protect national critical information infrastructure. This, as part of a developing country's national security strategy in addition to traditional cybersecurity defence measures. The approach taken for the research program, and discussed in this paper, is based on a comprehensive literature study on several existing cybersecurity policies and strategies from both developed and developing countries. From this the drivers / elements for national cybersecurity policies and strategies were identified. These drivers were than adapted to specifically relate to the requirements of developing countries, and then, utilising the identified and adapted drivers, our strategic framework for developing countries to secure their cyberspace was developed. This document will be very useful for those African countries venturing into defining relevant policies and procedures.","","Jaquire V,von Solms B","","2015","1–18","10.4018/IJCWT.2015010101","https://doi-org.proxy.bnl.lu/10.4018/IJCWT.2015010101;http://dx.doi.org/10.4018/IJCWT.2015010101","Journal Article"
"A Study of MVNO Diffusion and Market Structure in the EU, US, Hong Kong, and Singapore","Mobile virtual network operators (MVNO's) are emerging as alternative channels for network operators to increase market share and drive traffic over their networks. MVNO's have gained popularity recently in Europe, but have a dismal track record in Asia. In comparing the two regions, this study analyzes how the MVNO market has changed and what opportunities and/or threats network operators and potential MVNO entrants are likely to face. The essential question in next generation MVNO's is how the roles of mobile network operators, service providers and content producers will change current and future value chains. This study conducts an economic assessment of market structure and environment for different countries' MVNO diffusion. The data on market structure is analyzed by means of factor analysis techniques in order to group countries according to their market environments. Then, structural equation modeling is used to investigate the relations of MVNO diffusion and independent variables. The results show that the MVNO diffusion significantly relates to market and industry structure.","","Shin DH,Bartolacci M","","2007","86–100","10.1016/j.tele.2005.11.003","https://doi-org.proxy.bnl.lu/10.1016/j.tele.2005.11.003;http://dx.doi.org/10.1016/j.tele.2005.11.003","Journal Article"
"A Study on Factors Affecting the Adoption of LTE Mobile Communication Service: The Case of South Korea","Smartphones have a big advantage making infinite expandability possible by downloading new applications consistently through application store. These new devices provide us with multimedia features such as high quality voice calls, listening to music, and internet searching while previously cell phone just executed functions of voice calls, SMS, and PDA. So, recently people's interest in mobile communication service is on the increase. When 3G service reached the boundary of its capacity due to increase of continuous data volume, LTE and LTE-A was commercialized and is being used. The goal of this study is to find factors affecting the intention to adopt LTE service through a survey conducted in South Korea. The present study focused on the functional dimension including cost, speed, and security, the social dimension including social influence, and the personal dimension including personal innovativeness and self-efficacy to find out their effects on intention to accept LTE service. As a result, our study showed the cost and speed of LTE service were not significant variables. Also, there were no differences between the effects of perceived usefulness, perceived ease of use, and perceived enjoyment on intention to use LTE service.","","Park ST,Im H,Noh KS","","2016","217–237","10.1007/s11277-015-2802-7","https://doi-org.proxy.bnl.lu/10.1007/s11277-015-2802-7;http://dx.doi.org/10.1007/s11277-015-2802-7","Journal Article"
"A Survey on Automatic Speech Recognition Systems for Portuguese Language and Its Variations","","","Aguiar de Lima T,Da Costa-Abreu M","","2020","","10.1016/j.csl.2019.101055","https://doi-org.proxy.bnl.lu/10.1016/j.csl.2019.101055;http://dx.doi.org/10.1016/j.csl.2019.101055","Journal Article"
"A Systematic Mapping about User Sensitive Information on Social Networks","Social networks are used by millions of users every day and become part of our lives. However, privacy and security issues have been raised since user's sensitive information are exposed by several manners. User's sensitive information disclosure is not solved yet by current social networks. Thus several researches have been done in order to understand implications and users awareness. Different approaches and techniques are applied on every study resulting a heterogeneous set of information. In order to better understand the current state of the literature about user's privacy disclosure and security we conducted a review of published papers on IEEE, ACM and Science Direct using a systematic mapping. We evaluated 143 papers and classified 35 under our defined criteria to consider only studies with experiment on user privacy and security disclosure. Results indicate an academic preference to conduct questionnaire approaches aiming to explore user's awareness. We also notice that most of studies are limited to small groups and that research community is basically restricted to USA, Europe and Asia.","","Jasinski MG,Oliveira HC,Sartori DF,Berkenbrock CD","","2015","76–81","10.1109/CISIS.2015.11","https://doi-org.proxy.bnl.lu/10.1109/CISIS.2015.11;http://dx.doi.org/10.1109/CISIS.2015.11","Conference Paper"
"A Systems Approach in Examining Optimization Opportunities and Dynamics of the Global Steel Industry","This paper takes a systems perspective in exploring and analyzing optimization possibilities and market dynamics of the global steel industry. To assess and improve this industry's performance, two analytical approaches are used. First, a multiple regression analysis was applied to determine the important relationships among world crude steel producers, international trading blocs and key countries to quantify the historical correlations in the steel industry. Next, game theory models are applied to study global steel industry dynamics and to quantify and compare historical production data in order to determine optimal approaches that could be employed to gain market share by key countries and players. In order to gain an in-depth understanding of interplay among various system's players within this complex global steel industry, the paper discusses protectionism, quotas, tariffs, exports, imports, capacity, substitution, specialization, mergers and cooperation, among other strategies used historically within the industry. A geographical survey of the global steel industry data is presented in multiple chart formats. Strengths, weaknesses, opportunities and threats to the industry players are compared. Implications of the analytical findings for the US, European, and Asian competitors in the global steel industry are outlined and recommendations that would lead to optimization of global steel industry operations are suggested.","","Kumar S,Ghildayal N,Ostor C","","2008","401–427","","","Journal Article"
"A Taxonomy for Mining and Classifying Privacy Requirements in Issue Reports","","","Sangaroonsilp P,Dam HK,Choetkiertikul M,Ragkhitwetsagul C,Ghose A","","2023","","10.1016/j.infsof.2023.107162","https://doi-org.proxy.bnl.lu/10.1016/j.infsof.2023.107162;http://dx.doi.org/10.1016/j.infsof.2023.107162","Journal Article"
"A Water Environment Security Monitoring Algorithm Based on Intelligent Video Surveillance","The rational allocation of water resources has become an important prerequisite for the protection of national economic and social sustainable development as the China economic develops rapidly, therefore establishing water security environment monitoring and evaluation mechanisms is a good way for providing services and solutions for regional environmental management and accident pollution. Considering features of super-large water transmission engineering, water environmental safety level assessment strategy based on intelligent video surveillance is designed. According to features of main water surface and that of moving target, and by using SVM the corresponding water environment security level classification model is designed. The application of sample offline learning methods guaranteed efficiency and accuracy of water quality assessment, and the results of several kernels are also analyzed and verified via tests. This algorithm has been successfully used in the central line project of south-to-north water diversion, and the test result shows that this algorithm is of high robustness and accuracy.","","Pang Z,Jia K,Feng J","","2014","191–194","10.1109/IIH-MSP.2014.54","https://doi-org.proxy.bnl.lu/10.1109/IIH-MSP.2014.54;http://dx.doi.org/10.1109/IIH-MSP.2014.54","Conference Paper"
"ASEAN Users' Privacy Concerns and Security in Using Online Social Networks","As the ASEAN consumers are increasingly moving online, the number of internet users according to UBS increase to 32% across the region and 112% penetrated by mobile technology. More than 50% of ASEAN users are participating to online social network OSN. This research is to investigate the awareness and influence of security and privacy issues on internet users' trust, and building a safer OSN landscape in South East Asian region by examining the relationships among online privacy concerns, security, trust, and intention. Using structural equation modelling, the findings shows that 'privacy' correlates with 'security' but these two variables do not have significant impact on users' trust. Moreover, only 'trust' and 'security' affect users' intention to use OSN.","","Sriratanaviriyakul N,Nkhoma M,Felipe AL,Cao TK,Tran QH,Epworth R,Shankaranarayanan A,Quang HL","","2017","84–99","10.1504/IJESDF.2017.081787","https://doi-org.proxy.bnl.lu/10.1504/IJESDF.2017.081787;http://dx.doi.org/10.1504/IJESDF.2017.081787","Journal Article"
"Adaptive Stochastic Weak Approximation of Degenerate Parabolic Equations of Kolmogorov Type","Degenerate parabolic equations of Kolmogorov type occur in many areas of analysis and applied mathematics. In their simplest form these equations were introduced by Kolmogorov in 1934 to describe the probability density of the positions and velocities of particles but the equations are also used as prototypes for evolution equations arising in the kinetic theory of gases. More recently equations of Kolmogorov type have also turned out to be relevant in option pricing in the setting of certain models for stochastic volatility and in the pricing of Asian options. The purpose of this paper is to numerically solve the Cauchy problem, for a general class of second order degenerate parabolic differential operators of Kolmogorov type with variable coefficients, using a posteriori error estimates and an algorithm for adaptive weak approximation of stochastic differential equations. Furthermore, we show how to apply these results in the context of mathematical finance and option pricing. The approach outlined in this paper circumvents many of the problems confronted by any deterministic approach based on, for example, a finite-difference discretization of the partial differential equation in itself. These problems are caused by the fact that the natural setting for degenerate parabolic differential operators of Kolmogorov type is that of a Lie group much more involved than the standard Euclidean Lie group of translations, the latter being relevant in the case of uniformly elliptic parabolic operators.","","Frentz M,Nyström K","","2010","146–164","10.1016/j.cam.2009.12.011","https://doi-org.proxy.bnl.lu/10.1016/j.cam.2009.12.011;http://dx.doi.org/10.1016/j.cam.2009.12.011","Journal Article"
"Affordable System for Rapid Detection and Mitigation of Emerging Diseases","South and South-East Asian countries are currently in the midst of a new epidemic of Dengue Fever. This paper presents disease surveillance systems in Sri Lanka and India, monitoring a handful of communicable diseases termed as notifiable. These systems typically require 15-30 days to communicate field data to the central Epidemiology Units, to be then manually processed Prashant & Waidyanatha, 2010. Currently used analyses rely on aggregating counts of notifiable disease cases by district, disease, and week. The Real-Time Biosurveillance Program RTBP, a multi-partner initiative, aims at addressing those challenges by developing affordable paradigm-changing Information Communication Technology ICT, implementing and field-testing them in India and Sri Lanka. Key components of the proposed solution include real-time digitization of clinical information at hospitals and clinics with the mHealthSurvey mobile phone software Kannan et al., 2010, detecting anomalies in large multivariate biosurveillance data using the T-Cube Web Interface spatio-temporal statistical analysis tool Ray et al., 2008, and disseminating critical information pertaining to the adverse events to healthcare workers using the Sahana Alerting Module Sampath et al., 2010. This paper provides an overview of the applications and discusses utility of the technologies for real-time detection and mitigation of emerging threats to public health.","","Waidyanatha N,Dubrawski A,M. G,Gow G","","2011","73–90","10.4018/jehmc.2011010105","https://doi-org.proxy.bnl.lu/10.4018/jehmc.2011010105;http://dx.doi.org/10.4018/jehmc.2011010105","Journal Article"
"Agents for the Masses?","Agent technology is in a state of paradox. The field has never enjoyed more energy and concomitant research progress, and yet the rate of uptake of new research results in fielded systems has been glacially slow. The few agents in the real world of everyday applications generate more heat than enlightenment; most are easily confused, few collaborate except in trivial prearranged fashion, and all enjoy little freedom of movement. Significantly, the current trapped state of our agents has less to do with lack of mobility mechanisms than with their unpreparedness to work fully in the open world of cyberspace and to interoperate outside of a tightly circumscribed sphere of agent platforms and domains. The kinds of agents that we want-citizens of the wired world, equipped with stamped passports and Berlitz travelers guides explaining foreign phrases and places that allow them to hail, meet, and greet agents of any sort in the open landscape of the Internet and, if not able to team up on a project, at least able to ask intelligibly for directions-these kinds of agents, alas, exist today only in our imaginations (and, of course, in the vision sections of our research proposals).Actually building the sophisticated agent-based systems of the future will require research advances on at least three fronts: We must continue work on agent theory so that many currently unanswered questions about the scope and limitations of alternative approaches to agent design can be addressed. We must make agent frameworks and infrastructure powerful, interoperable, and secure enough to support robust large-scale coordinated problem-solving activity.Perhaps more importantly, we must develop new sorts of tools to help nonspecialists unlock the power of agent technology.The good news is that things are progressing well on the first two fronts. Various initiatives are beginning to provide an early preview of the faster, more reliable, and more secure versions of the next-generation Internet that our large-scale visions require. Middleware and Internet technologies and standards are now maturing to the point that agent framework developers can rely on off-the-shelf products as a ready substrate to their own work, rather than creating ad hoc alternatives from scratch. Advances in the difficult theoretical issues of dynamic agent communication, coordination, and control are beginning to let us better understand how to deploy large numbers of agents with confidence. Finally, recent work in theory and infrastructure has yielded exciting new kinds of blueprints for future systems that lie beyond the evolutionary development of current technologies. From grids to Jini (http://java.sun.com/products/jini), these approaches aim to provide a universal source of dynamically pluggable, pervasive, and dependable computing power, while guaranteeing levels of security and quality of service that will make new classes of agent applications possible.However, a large and ugly chasm still separates the world of formal theory and infrastructure from the world of practical nuts-and-bolts agent-system development-this is where the third research front comes in. If agent technology is ever to become as widely used as ordinary object technology is today, we must create new sorts of tools to help non-guru developers bridge the gaps between theory, plumbing, and practice. Currently, full appreciation of leading-edge developments in agent theory and frameworks requires sophisticated knowledge of speech-act theory, formal semantics, linguistic pragmatics, logic, security design, Internet and middleware technologies, distributed computing, planning, and other disciplines that are not likely to be present in a typical developer's skill set. Without good tools, rapid advances in theory and infrastructure might paradoxically attenuate rather than accelerate the adoption of agent technology as members of the developer community spin their wheels or ultimately give up in disgust. Hence we must ask: Is it possible to make development of sophisticated agents simple enough to be practical?Fortunately, the agents community has not completely neglected the question of tools. The DARPA CoABS program and complementary initiatives in Europe and Asia are vigorously supporting research to accelerate the development of scalable interoperable agent theory and tools, and are promoting the eventual adoption of standards through bodies such as FIPA. As part of these efforts, we are working to extend theory and create tools in two areas: agent communication and agent management. This article discusses our current research directions and preliminary results in each of these areas.","","Bradshaw JM,Greaves M,Holmback H,Karygiannis T,Jansen W,Silverman BG,Suri N,Wong A","","1999","53–63","10.1109/5254.757632","https://doi-org.proxy.bnl.lu/10.1109/5254.757632;http://dx.doi.org/10.1109/5254.757632","Journal Article"
