"Document Title","Abstract","Chosen","Authors","Author Affiliations","Publication Year","Page","DOI","Link","Content type"
"Exploiting Multi-Vendor Vulnerabilities as Back-Doors to Counter the Threat of Rogue Small Unmanned Aerial Systems","A recent trend for many malicious actors, such as: (1) terrorists in Iraq and Syria, (2) lone wolf domestic terrorists, (3) drug cartels, or (4) espionage-minded corporations, has been to use commercial-off-the-shelf (COTS) small unmanned aerial systems (sUAS) (i.e., drones) that can circumvent ground-based defenses to attack or spy on targets, to transport contraband, or to steal information. Because of the low cost of COTS sUAS and the prior success of these uses, this trend is increasing at an alarming rate, leading to the need to counter the malicious usage of sUAS (i.e., rogue sUAS). Researchers, the armed forces, and technologists have all proposed disparate solutions to this problem. There are no comprehensive and compact solutions capable of effectively tracking, identifying, and actively neutralizing the threats associated with rogue sUAS. Thus, we have developed a mobile cyber solution, using rigorous penetration testing across the top sUAS COTS vendors. Based on the market share of these top vendors, our approach is applicable to approximately 90% of all COTS sUAS. We demonstrate that hard-to-patch vulnerabilities (i.e., vulnerabilities that exist across all the top vendors of sUAS) can be used as back-doors to counter the threat of rouge sUAS. Our solution can be launched from a standard laptop or Android mobile device with an external antenna, and is capable of tracking, identifying, and disrupting all Parrot and 3DR sUAS, as well as almost all DJI sUAS (i.e., renders them incapable of video flight) within a 300-meter radius.","No","Watkins L,Ramos J,Snow G,Vallejo J,Robinson WH,Rubin AD,Ciocco J,Jedrzejewski F,Liu J,Li C","","2018","","10.1145/3215466.3215467","https://doi-org.proxy.bnl.lu/10.1145/3215466.3215467","Conference Paper"
"Exploring Technical Quality Factors That Enhance Mobile Learning Applications Services Using Data Mining Techniques","Mobile learning (m-learning) has become an increasingly attractive solution for schools and universities that utilize new technologies in their teaching and learning setting. This study investigates the technical factors affecting the development of m-learning applications services from students’ perspectives. It presents a model consisting of twelve technical factors, including content usefulness, scalability, security, functionality, accessibility, interface design, interactivity, reliability, availability, trust, responsiveness, and personalization. To evaluate the model, a questionnaire was designed and distributed to 151 students in Jerash University, Jordan. The results indicate that all technical factors have positive affects on learner satisfaction and overall m-learning applications services, however the data mining analysis revealed that security and scalability factors exert a major impact on student satisfaction with m-learning applications services. This study gives insight for the future of developing and design m-learning applications.","Yes","Abu-Al-Aish A","","2021","1–23","10.4018/IJICTE.20211001.oa14","https://doi-org.proxy.bnl.lu/10.4018/IJICTE.20211001.oa14","Journal Article"
"Exploring the Influence of Security/Privacy, Trialability, Output Quality and Anxiety on the Adoption of Mobile Decision Support Systems among Nurses: A Developing Country Context","Nursing staff need to be highly mobile in executing their routine work. Therefore, they may need to catch, deliver and/or receive critical information, orders or alerts via mobile devices at any point of care to help them take immediate decisions/actions or orders to accomplish their tasks quickly. This paper investigates the factors that affect the adoption of mobile decision support systems among nurses in Jordan. Experience and voluntariness as moderators in the proposed model were also investigated. The model was analysed and tested using WarpPLS 5.0 software. The findings of this study have demonstrated that perceived usefulness, perceived ease-of-use, security/privacy, trialability, output quality, and anxiety are important constructs in predicting and affecting intentional behaviour to adopt decision support systems among nurses in Jordan. The model has explained 65% of the variance in behavioural intention. Theoretical contributions and practical implications are outlined. Limitations and suggestions for future studies are discussed.","No","Jaradat MI","","2021","251–281","10.1504/ijmlo.2021.116508","https://doi-org.proxy.bnl.lu/10.1504/ijmlo.2021.116508","Journal Article"
"How Relevant Are Risk Perceptions, Effort, and Performance Expectancy in Mobile Banking Adoption?","This article provides a comprehensive overview of the adoption process using evidence from m-banking adoption in Pakistan. A survey design was used and 189 responses were received from across Pakistan and analyzed using Smart PLS application. Findings suggest that research on the effect of risk in the adoption process remains inconclusive. Contrarily, consumers have overcome many fears due to the usefulness, indispensability, high security features, and effort expended in the use of financial services delivered through m-banking. Perceived risk's PR direct influence was found to be generally weak. However, PR plays a major role in the pre-adoption process because it's weak and direct inhibiting influence become an ""enhancer"" in the association between effort expectancy EE and the three key TAM/UTAUT constructs [performance expectancy PE, attitude ATT, and adoption intention INT]. Most importantly, the role of EE as a strong driver of PE, ATT, INT, and its significant interaction with PR highlights the unique role that both risk and EE play in the adoption process.","Yes","Shaikh AA,Glavee-Geo R,Karjaluoto H","","2018","39–60","10.4018/IJEBR.2018040103","https://doi-org.proxy.bnl.lu/10.4018/IJEBR.2018040103","Journal Article"
"Let's Talk Money: Evaluating the Security Challenges of Mobile Money in the Developing World","Digital money drives modern economies, and the global adoption of mobile phones has enabled a wide range of digital financial services in the developing world. Where there is money, there must be security, yet prior work on mobile money has identified discouraging vulnerabilities in the current ecosystem. We begin by arguing that the situation is not as dire as it may seem---many reported issues can be resolved by security best practices and updated mobile software. To support this argument, we diagnose the problems from two directions: (1) a large-scale analysis of existing financial service products and (2) a series of interviews with 7 developers and designers in Africa and South America. We frame this assessment within a novel, systematic threat model. In our large-scale analysis, we evaluate 197 Android apps and take a deeper look at 71 products to assess specific organizational practices. We conclude that although attack vectors are present in many apps, service providers are generally making intentional, security-conscious decisions. The developer interviews support these findings, as most participants demonstrated technical competency and experience, and all worked within established organizations with regimented code review processes and dedicated security teams.","Yes","Castle S,Pervaiz F,Weld G,Roesner F,Anderson R","","2016","","10.1145/3001913.3001919","https://doi-org.proxy.bnl.lu/10.1145/3001913.3001919","Conference Paper"
"Malware Analysis through High-Level Behavior","Malware is becoming more and more stealthy to evade detection and analysis. Stealth techniques often involve code transformation, ranging from equivalent code substitution and junk code injection, to continuously transforming code using a polymorphic or a metamorphic engine. Evasion techniques have a great impact on signature-based malware detection, making it very costly and often unsuccessful.We propose to study a malware's network behavior during its execution. While malware may transform its code to evade analysis, we contend that its behavior must mostly remain the same to achieve the malware's ultimate purpose, such as sending spam, scanning for vulnerable hosts, etc. While live malware analysis is hard, we leverage our Fantasm platform on the Deter-Lab testbed to perform it safely and effectively. Based on observed network traffic we propose a behavior classification approach, which can help us interpret the malware's actions and its ultimate purpose at a high level. We then apply our approach to 999 diverse samples from the Georgia Tech Apiary project to understand current trends in malware behaviors.","No","Deng X,Mirkovic J","","2018","5","","","Conference Paper"
"No Smurfs: Revealing Fraud Chains in Mobile Money Transfers","Mobile Money Transfer (MMT) services provided by mobile network operators enable funds transfers made on mobile devices of end-users, using digital equivalent of cash (electronic money) without any bank accounts involved. MMT simplifies banking relationships and facilitates financial inclusion, and, therefore, is rapidly expanding all around the world, especially in developing countries. MMT systems are subject to the same controls as those required for financial institutions, including the detection of Money Laundering (ML) - a source of concern for MMT service providers. In this paper we focus on an often practiced ML technique known as micro-structuring of funds or smurfing and introduce a new method for detection of fraud chains in MMT systems. Whereas classical detection methods are based on machine learning and data mining, this work builds on Predictive Security Analysis at Runtime (PSA@R), a model-based approach for event-driven process analysis. We provide an extension to PSA@R which allows us to identify fraudsters in an MMT service monitoring network behavior of its end-users. We evaluate our method on simulated transaction logs, containing approximately 460,000 transactions for 10,000 end-users, and compare it with classical fraud detection approaches. With 99.81% precision and 90.18% recall, we achieve better recognition performance in comparison with the state of the art.","No","Zhdanova M,Repp J,Rieke R,Gaber C,Hemery B","","2014","11–20","10.1109/ARES.2014.10","https://doi-org.proxy.bnl.lu/10.1109/ARES.2014.10","Conference Paper"
"Practical Receipt Authentication for Branchless Banking","Although branchless banking systems have spread to different parts of the developing world, methods to ensure transactional security in these systems have seen slower adoption because of a variety of operational constraints. A basic requirement from such systems is the provision of secure and reliable receipts to users during transactions, and recent attacks have demonstrated that existing systems fall short of fulfilling this requirement in practice. In this paper, we propose a simple and practical protocol to enable users to authenticate transaction receipts in branchless banking systems. Our protocol makes novel use of missed calls (sent from users to the bank) to help distinguish real receipts from spoofed ones and can be implemented on any mobile phone, without software installation. Besides preventing spoofing attacks, the protocol enjoys significant advantages of usability, efficiency and cost, which make it a more practical choice than other schemes. We also discuss ways to use missed calls to mitigate man-in-the-middle attacks on branchless banking systems.","No","Panjwani S","","2013","","10.1145/2442882.2442886","https://doi-org.proxy.bnl.lu/10.1145/2442882.2442886","Conference Paper"
"The Adoption of Security Control Apps among Smartphone Users in Tanzania","Threats to mobile devices and smartphones, in particular, are on the rise, suggesting that data and information residing in the mobile device such as smartphones are in danger of being attacked. The current study employs an extended TBP as a theoretical framework to investigate the adoption of security control apps (i.e. antivirus) to safeguard against the attacks. A theoretical framework was tested using structural equation modelling (SEM) with data collected from 233 respondents. The study found that social influence, attitude and security awareness have an influence on the intention to adopt antivirus software while perceived behavioral control and individual risk propensity have no influence. Further security awareness has an influence on the attitude of smartphone users towards using antivirus software.","Yes","Koloseni D,Sedoyeka EM","","2019","1–18","10.4018/IJTD.2019100101","https://doi-org.proxy.bnl.lu/10.4018/IJTD.2019100101","Journal Article"
"ThinSIM-Based Attacks on Mobile Money Systems","Phone-based mobile money is becoming the dominant paradigm for financial services in the developing world. For example, mPesa has a cash flow of over thirty billion USD, equivalent to nearly half of Kenya's GDP. Inside of these markets, competitors have appeared who leverage ThinSIMS, small SIM-card add-ons, to provide alternative mobile money implementations. However, the security implications of ThinSIMs are not well understood.To resolve this, we explore the security of phone-based mobile money systems against attacks via the SIM interface, the 3GPP-defined interface between a SIM card and a phone. Using a ThinSIM to intercept and initiate communication over the SIM interface, we demonstrate that a malicious ThinSIM can steal a user's mPesa credentials and initiate transactions without the user's consent or knowledge. We also demonstrate a similar ThinSIM-based attack against USSD-based mobile money systems that allows for similar transactions without the user's knowledge or participation. Lastly, we propose and implement modifications to both STK and USSD-based mobile money systems to limit the impact of our discovered ThinSIM-based attacks.","No","Phipps R,Mare S,Ney P,Webster J,Heimerl K","","2018","","10.1145/3209811.3209817","https://doi-org.proxy.bnl.lu/10.1145/3209811.3209817","Conference Paper"
"Towards Cash-Less Economy: Examining Factors Influencing Intention to Use NFC-Based Mobile Payments","Recently, there has been speedy development of mobile technologies and an increase in diffusion of smartphones among young people. This has provided opportunities for innovative companies to create new payment solutions to their young customers. Although there has been a lot of coverage on consumer acceptance of mobile payments, only limited studies in Tanzania provide guidelines for NFC technology acceptance. This study aimed at examining factors influencing the acceptance of NFC technology in Tanzania using young customers (students). Current research modifies UTAUT framework based on existing literature to achieve the stated purpose. The snowball sampling technique was used to select 405 students from the IFM. SEM was employed in the analysis of collected data. The findings reveal that both security and trust are significant and positively affect adoption of NFC technology in Tanzania. Surprisingly, the results also indicated that the combination of social influence and security explains 84% of the trust. The implication, limitations, and future studies were also discussed.","No","Lashayo DM,Mhina JR","","2022","1–24","10.4018/IJMDWTFE.311432","https://doi-org.proxy.bnl.lu/10.4018/IJMDWTFE.311432","Journal Article"
"""If God Gives Me the Chance i Will Design My Own Phone"": Exploring Mobile Phone Repair and Postcolonial Approaches to Design in Rural Kenya","This article focuses on ""fundi wa simu,"" (mobile phone repairers) in rural Kenya and their ideas about mobile phone design. Our study design and analysis were guided by ideas from postcolonial computing; we use our qualitative findings, and outcomes from a drawing exercise, to show existing flaws in mobile phone design, and to explore how repairers' knowledge can lead to handsets that are better suited for rural Kenyans. Our argument is that, by engaging with repairers ""[on] their own terms,"" technologists can expand conversations around designing for the 'developing' world that go beyond building novel smartphone applications. In fact, such conversations can also include reimagining mobile phones, and supporting local repairers' efforts to manufacture them. We conclude by discussing ways to improve upon postcolonial approaches to technology design.","","Wyche S,Dillahunt TR,Simiyu N,Alaka S","","2015","463–473","10.1145/2750858.2804249","https://doi-org.proxy.bnl.lu/10.1145/2750858.2804249;http://dx.doi.org/10.1145/2750858.2804249","Conference Paper"
